repetition,cviter,trial,growth.factors,num.extra.layers,units1,units2,mse.test.mean,time.in.mins
6,1,1,12|2|16|16|13|2|18|7,2,75,76,197.364011491134,51.410658232371
6,1,2,19|15|7|9|8|3|19|4,2,76,66,203.53613404109,51.410658232371
6,1,3,20|3|15|4|20|6|17|18,2,76,63,204.566588768627,51.410658232371
6,1,4,13|17|4|12|10|16|16|16,0,62,46,205.557573571243,51.410658232371
6,1,5,10|9|2|2|18|5|12|18,0,28,52,207.62393470385,51.410658232371
6,1,6,5|5|7|11|12|8|9|16,0,60,27,212.515832827513,51.410658232371
6,1,7,14|14|17|19|20|3|16|9,2,79,60,213.248252629472,51.410658232371
6,1,8,2|13|5|5|7|9|11|16,0,20,71,215.098603053701,51.410658232371
6,1,9,16|7|10|9|12|17|4|15,0,52,58,215.148208883006,51.410658232371
6,1,10,17|17|8|11|15|4|4|17,0,12,68,215.18246807069,51.410658232371
2,1,1,11|8|17|14|16|11|16|18,0,62,64,209.064945227778,55.1700353503227
2,1,2,17|17|8|11|15|4|4|17,0,12,68,214.907625728862,55.1700353503227
2,1,3,17|18|14|12|16|6|19|10,2,73,66,215.614429613257,55.1700353503227
2,1,4,12|17|7|16|8|15|15|14,0,63,46,215.879740398524,55.1700353503227
2,1,5,10|9|2|2|18|5|12|18,0,28,52,216.815808549028,55.1700353503227
2,1,6,15|2|14|13|20|5|17|2,2,73,74,217.031500980795,55.1700353503227
2,1,7,20|3|15|4|20|6|17|18,2,76,63,217.320705502454,55.1700353503227
2,1,8,16|7|10|9|12|17|4|15,0,52,58,217.679412457966,55.1700353503227
2,1,9,8|16|20|18|7|9|2|16,0,54,66,218.234205939186,55.1700353503227
2,1,10,5|5|7|11|12|8|9|16,0,60,27,220.303179398512,55.1700353503227
10,1,1,10|9|2|2|18|5|12|18,0,28,52,210.094532856033,54.1072026014328
10,1,2,5|5|7|11|12|8|9|16,0,60,27,210.936833874392,54.1072026014328
10,1,3,15|16|15|13|15|10|17|14,0,60,36,211.635065624036,54.1072026014328
10,1,4,17|17|8|11|15|4|4|17,0,12,68,212.550265703571,54.1072026014328
10,1,5,13|12|5|13|5|11|10|15,0,64,50,213.839214284097,54.1072026014328
10,1,6,7|10|8|7|17|2|2|18,0,18,41,214.176505389535,54.1072026014328
10,1,7,3|14|5|3|9|8|10|16,0,17,68,214.292479164026,54.1072026014328
10,1,8,16|7|10|9|12|17|4|15,0,52,58,215.044159327786,54.1072026014328
10,1,9,10|17|13|5|5|9|18|12,0,63,73,217.520993269654,54.1072026014328
10,1,10,12|9|9|9|8|7|15|11,0,23,34,218.204342672093,54.1072026014328
12,1,1,10|9|2|2|18|5|12|18,0,28,52,199.267332334944,55.6028987487157
12,1,2,12|18|10|7|13|2|10|18,0,45,52,199.435688571661,55.6028987487157
12,1,3,17|17|8|11|15|4|4|17,0,12,68,201.967127944984,55.6028987487157
12,1,4,20|3|15|4|20|6|17|18,2,76,63,202.320098765204,55.6028987487157
12,1,5,5|5|7|11|12|8|9|16,0,60,27,203.887157617793,55.6028987487157
12,1,6,2|17|9|9|11|7|15|16,0,24,66,204.566653261208,55.6028987487157
12,1,7,5|19|19|11|11|2|18|10,2,60,60,204.7411477844,55.6028987487157
12,1,8,10|17|13|5|5|9|18|12,0,63,73,204.953840197999,55.6028987487157
12,1,9,7|16|10|7|15|3|6|9,2,57,77,206.534516816975,55.6028987487157
12,1,10,16|7|10|9|12|17|4|15,0,52,58,206.575979009091,55.6028987487157
13,1,1,12|6|16|15|12|9|15|20,0,64,65,194.027091412196,58.4983725508054
13,1,2,14|17|8|15|11|14|16|16,0,62,46,197.935387355292,58.4983725508054
13,1,3,17|17|8|11|15|4|4|17,0,12,68,201.651000100309,58.4983725508054
13,1,4,10|9|2|2|18|5|12|18,0,28,52,202.93750987915,58.4983725508054
13,1,5,16|7|10|9|12|17|4|15,0,52,58,204.833636256419,58.4983725508054
13,1,6,17|14|12|5|11|2|7|15,0,59,50,205.88184844406,58.4983725508054
13,1,7,8|16|20|18|7|9|2|16,0,54,66,206.142500927841,58.4983725508054
13,1,8,5|5|7|11|12|8|9|16,0,60,27,206.632875832761,58.4983725508054
13,1,9,10|17|13|5|5|9|18|12,0,63,73,207.126075003451,58.4983725508054
13,1,10,20|3|15|4|20|6|17|18,2,76,63,207.876722109324,58.4983725508054
20,1,1,10|9|2|2|18|5|12|18,0,28,52,205.203583076513,55.8710560838381
20,1,2,17|17|8|11|15|4|4|17,0,12,68,205.748869398433,55.8710560838381
20,1,3,13|16|5|15|8|13|15|14,0,61,46,207.48011448597,55.8710560838381
20,1,4,20|3|15|4|20|6|17|18,2,76,63,207.870734892042,55.8710560838381
20,1,5,15|10|16|9|7|2|7|16,0,60,52,208.029753940964,55.8710560838381
20,1,6,5|5|7|11|12|8|9|16,0,60,27,209.949344323455,55.8710560838381
20,1,7,8|16|20|18|7|9|2|16,0,54,66,210.194636858081,55.8710560838381
20,1,8,10|17|13|5|5|9|18|12,0,63,73,211.503594501756,55.8710560838381
20,1,9,16|7|10|9|12|17|4|15,0,52,58,212.043702321295,55.8710560838381
20,1,10,2|14|5|3|8|8|12|15,0,18,67,213.803907965181,55.8710560838381
8,1,1,17|19|17|10|13|3|18|7,2,75,62,202.856574077374,60.6270992318789
8,1,2,14|16|6|16|6|15|14|18,0,63,49,203.144741769431,60.6270992318789
8,1,3,17|17|8|11|15|4|4|17,0,12,68,204.942861705112,60.6270992318789
8,1,4,10|9|2|2|18|5|12|18,0,28,52,205.619715087131,60.6270992318789
8,1,5,19|19|12|2|4|2|4|9,2,62,61,206.809949489547,60.6270992318789
8,1,6,20|3|15|4|20|6|17|18,2,76,63,207.939904558408,60.6270992318789
8,1,7,5|5|7|11|12|8|9|16,0,60,27,209.501554563381,60.6270992318789
8,1,8,16|7|10|9|12|17|4|15,0,52,58,211.281459615501,60.6270992318789
8,1,9,3|13|12|3|5|6|7|9,1,47,73,212.303132215194,60.6270992318789
8,1,10,19|8|18|13|15|10|7|8,2,69,56,212.708818130924,60.6270992318789
4,1,1,9|15|8|15|19|10|10|20,0,18,48,192.530858168561,63.0196839491526
4,1,2,7|15|7|5|15|13|16|18,0,17,72,195.70828274606,63.0196839491526
4,1,3,17|17|8|11|15|4|4|17,0,12,68,199.718833852224,63.0196839491526
4,1,4,10|9|2|2|18|5|12|18,0,28,52,200.050933205893,63.0196839491526
4,1,5,14|16|13|10|16|4|13|16,0,53,45,200.283160904218,63.0196839491526
4,1,6,20|3|15|4|20|6|17|18,2,76,63,202.655267572123,63.0196839491526
4,1,7,5|5|7|11|12|8|9|16,0,60,27,203.402901770938,63.0196839491526
4,1,8,10|16|5|15|9|17|16|13,0,62,48,205.370740088921,63.0196839491526
4,1,9,10|17|13|5|5|9|18|12,0,63,73,205.453594590297,63.0196839491526
4,1,10,16|7|10|9|12|17|4|15,0,52,58,205.934608423136,63.0196839491526
14,1,1,17|16|14|13|14|9|14|17,0,61,42,206.700878572918,60.326626598835
14,1,2,10|9|2|2|18|5|12|18,0,28,52,210.009022837995,60.326626598835
14,1,3,17|17|8|11|15|4|4|17,0,12,68,212.8392212352,60.326626598835
14,1,4,3|14|4|3|11|11|13|17,0,16,70,213.481041300971,60.326626598835
14,1,5,8|16|20|18|7|9|2|16,0,54,66,213.954106054099,60.326626598835
14,1,6,5|5|7|11|12|8|9|16,0,60,27,214.863713586143,60.326626598835
14,1,7,11|5|20|4|20|2|11|2,2,74,61,215.651396626972,60.326626598835
14,1,8,19|8|18|13|15|10|7|8,2,69,56,215.77466671966,60.326626598835
14,1,9,7|18|12|7|16|2|7|8,2,59,77,216.428927317372,60.326626598835
14,1,10,19|16|12|9|15|4|18|4,2,75,61,216.576929289449,60.326626598835
17,1,1,9|7|14|15|13|15|14|18,0,67,70,190.608689472276,60.9350702166557
17,1,2,17|10|14|8|7|5|8|19,0,65,58,191.322146739518,60.9350702166557
17,1,3,13|17|7|15|7|15|15|17,0,63,48,191.863900355293,60.9350702166557
