repetition,cviter,trial,growth.factors,num.extra.layers,units1,units2,mse.test.mean,time.in.mins
2,1,1,20|4|10|6|5|6|3|9|17|10|18|17|12|3|16|14|4|19|6|15|9|12|14|9|17|10|18|14|17,0,69,48,116.69068525348,302.198540349801
2,1,2,17|13|7|4|12|13|13|12|13|12|10|15|18|13|18|14|13|4|8|16|8|15|13|10|13|13|14|19|13,0,70,58,116.910437481435,302.198540349801
2,1,3,20|10|3|20|20|14|17|5|12|16|5|20|18|11|19|19|20|9|6|19|2|17|3|14|18|9|10|17|14,0,68,41,117.108533772856,302.198540349801
2,1,4,18|4|5|7|6|8|12|19|20|5|6|18|19|14|15|2|18|11|10|8|9|16|2|3|19|4|11|20|20,0,70,66,117.498162735624,302.198540349801
2,1,5,18|12|13|10|10|16|13|5|10|16|8|13|12|11|16|13|18|12|9|15|8|9|7|8|14|11|16|18|10,0,73,47,117.54680696741,302.198540349801
2,1,6,13|9|14|10|5|7|11|13|9|12|6|13|13|11|14|3|8|10|12|11|10|10|9|10|12|7|17|19|12,0,42,49,117.581426871422,302.198540349801
2,1,7,14|12|14|19|11|2|15|14|4|18|18|11|18|13|2|6|20|4|11|11|12|3|3|2|19|3|18|20|11,0,37,29,117.67809423243,302.198540349801
2,1,8,14|9|14|19|17|18|14|13|4|5|14|12|6|8|6|19|9|3|6|2|10|4|8|12|7|14|19|19|18,0,63,62,117.728970522926,302.198540349801
2,1,9,16|11|12|17|7|13|13|6|13|8|7|13|13|14|9|11|9|10|4|14|13|16|7|14|10|14|16|16|15,0,56,38,117.757947917849,302.198540349801
2,1,10,14|10|6|7|14|17|10|7|14|9|7|13|17|9|15|13|7|7|6|11|7|8|16|12|11|11|15|16|14,0,64,42,118.611136183218,302.198540349801
16,1,1,20|4|10|6|5|6|3|9|17|10|18|17|12|3|16|14|4|19|6|15|9|12|14|9|17|10|18|14|17,0,69,48,117.927858086122,305.673612316449
16,1,2,19|8|10|12|8|12|9|12|7|8|11|13|17|11|13|16|11|11|14|16|8|9|8|14|6|13|16|18|6,0,57,66,119.105030397606,305.673612316449
16,1,3,16|10|7|8|14|6|11|9|17|10|9|7|11|8|15|13|7|10|7|10|7|13|6|17|8|12|17|19|15,0,71,50,119.39240437213,305.673612316449
16,1,4,20|10|3|20|20|14|17|5|12|16|5|20|18|11|19|19|20|9|6|19|2|17|3|14|18|9|10|17|14,0,68,41,120.091450257447,305.673612316449
16,1,5,14|11|14|8|13|14|16|9|12|13|11|7|11|16|11|11|10|11|10|9|6|12|9|14|16|9|19|14|12,0,55,46,120.104108739243,305.673612316449
16,1,6,17|19|8|9|19|11|15|3|13|19|3|4|13|15|10|11|9|5|3|15|8|9|4|16|3|9|19|11|6,0,68,34,120.346969029323,305.673612316449
16,1,7,18|6|10|14|12|7|15|10|14|11|9|17|10|11|15|15|12|7|10|10|10|9|12|8|10|9|15|13|16,0,51,62,120.565304463728,305.673612316449
16,1,8,14|12|14|19|11|2|15|14|4|18|18|11|18|13|2|6|20|4|11|11|12|3|3|2|19|3|18|20|11,0,37,29,120.568272257428,305.673612316449
16,1,9,14|5|4|18|3|19|20|4|4|9|2|13|11|17|3|10|17|16|13|19|19|6|6|20|3|15|12|20|9,0,54,44,120.723464506326,305.673612316449
16,1,10,14|9|14|19|17|18|14|13|4|5|14|12|6|8|6|19|9|3|6|2|10|4|8|12|7|14|19|19|18,0,63,62,120.823752662946,305.673612316449
14,1,1,20|4|10|6|5|6|3|9|17|10|18|17|12|3|16|14|4|19|6|15|9|12|14|9|17|10|18|14|17,0,69,48,115.182024737289,317.314652947585
