repetition,cviter,trial,growth.factors,num.extra.layers,units1,units2,mse.test.mean,time.in.mins
15,1,1,5|11|4|11|14|7|17|10|13|13|11|14|8|12|16|11|11|14|14,2,75,76,125.306159789064,241.18678513368
15,1,2,12|14|7|8|12|4|14|14|14|8|5|7|10|13|13|11|12|15|16,2,77,74,126.959335431422,241.18678513368
15,1,3,8|9|9|8|15|5|11|11|16|12|8|9|7|15|11|8|14|13|6,2,70,73,127.711967387693,241.18678513368
15,1,4,12|6|3|6|18|9|15|9|11|9|7|13|11|9|16|12|17|17|9,2,78,75,127.881594253862,241.18678513368
15,1,5,4|16|4|12|13|4|4|9|8|5|10|12|7|13|9|8|20|4|17,2,70,78,128.196311901242,241.18678513368
15,1,6,7|16|8|8|18|8|18|9|11|7|7|8|10|12|11|9|14|14|17,2,72,71,128.441268958834,241.18678513368
15,1,7,14|7|3|2|20|18|13|5|6|16|8|7|8|15|4|15|12|13|19,2,78,72,128.946309284511,241.18678513368
15,1,8,7|18|6|7|15|10|10|16|18|13|11|11|10|16|8|10|16|11|17,2,75,71,129.486131782692,241.18678513368
15,1,9,8|17|4|6|14|6|17|8|16|7|15|6|4|19|6|12|16|8|15,2,68,73,129.782702082588,241.18678513368
15,1,10,17|8|16|9|16|5|20|18|15|9|8|16|13|3|18|14|10|20|2,2,77,66,132.073405877751,241.18678513368
12,1,1,15|9|6|7|16|7|15|16|9|11|4|4|8|13|13|11|12|15|13,2,78,74,128.441040588949,245.34745336771
12,1,2,5|13|7|4|15|10|11|9|15|10|11|7|6|18|14|7|12|16|18,2,77,75,128.503869177739,245.34745336771
12,1,3,8|9|3|6|18|14|12|16|13|14|5|13|8|9|13|14|12|13|18,2,78,78,128.509952118971,245.34745336771
12,1,4,10|11|5|4|16|9|13|12|15|12|10|6|8|14|9|15|19|8|12,2,77,76,128.650473608356,245.34745336771
12,1,5,10|5|6|6|14|10|10|8|11|17|9|9|6|14|15|7|16|15|15,2,77,77,128.690702875536,245.34745336771
12,1,6,7|10|4|5|13|10|8|13|10|6|10|10|8|18|10|13|17|18|17,2,74,75,129.32928145898,245.34745336771
12,1,7,14|7|3|2|20|18|13|5|6|16|8|7|8|15|4|15|12|13|19,2,78,72,129.881167184346,245.34745336771
12,1,8,13|15|9|10|18|7|14|13|17|9|14|11|7|17|13|9|17|13|17,2,73,77,130.169186198579,245.34745336771
12,1,9,4|16|4|12|13|4|4|9|8|5|10|12|7|13|9|8|20|4|17,2,70,78,130.739700651177,245.34745336771
12,1,10,9|9|4|10|14|4|14|15|15|10|7|10|11|12|10|9|15|14|11,2,68,70,133.367822095999,245.34745336771
8,1,1,6|9|4|10|15|13|13|9|11|12|6|11|11|8|18|11|14|14|16,2,78,79,123.772854817542,269.315480450789
8,1,2,12|11|5|7|16|11|16|10|10|15|8|12|3|7|11|9|18|14|12,2,78,74,124.730858673432,269.315480450789
8,1,3,5|16|4|6|8|7|17|8|10|13|9|10|10|13|10|11|16|10|10,2,76,74,125.844168265326,269.315480450789
8,1,4,14|11|3|9|19|7|14|15|16|14|9|13|12|9|9|14|12|18|13,2,77,74,126.503246947404,269.315480450789
8,1,5,9|14|7|9|11|9|14|15|11|12|10|5|6|15|13|12|14|18|15,2,76,73,127.116861686539,269.315480450789
8,1,6,14|7|3|2|20|18|13|5|6|16|8|7|8|15|4|15|12|13|19,2,78,72,128.175929390345,269.315480450789
8,1,7,4|16|4|12|13|4|4|9|8|5|10|12|7|13|9|8|20|4|17,2,70,78,128.197734900044,269.315480450789
8,1,8,4|15|4|11|6|12|9|10|13|12|10|11|9|16|10|6|17|13|11,2,69,76,129.021636152873,269.315480450789
8,1,9,8|17|6|5|14|8|12|13|17|14|11|13|9|16|13|12|17|10|17,2,74,68,129.995100333557,269.315480450789
8,1,10,6|7|5|5|18|8|15|15|14|11|8|8|6|13|12|8|17|11|8,2,69,69,130.033137445231,269.315480450789
7,1,1,12|11|4|7|19|10|12|10|18|15|8|10|8|11|11|6|15|15|12,2,78,75,127.749403413815,270.338787432512
7,1,2,8|7|8|3|14|8|19|14|11|13|5|9|7|9|10|11|15|16|18,2,78,73,128.496901798063,270.338787432512
7,1,3,11|9|4|5|16|12|12|8|13|11|7|17|10|14|15|10|14|12|20,2,75,77,128.759338533532,270.338787432512
7,1,4,10|11|6|9|17|5|15|13|14|13|12|8|9|16|6|8|16|14|14,2,74,73,129.577708885052,270.338787432512
7,1,5,8|18|4|3|16|14|14|11|11|7|8|9|9|14|15|13|14|18|7,2,77,74,130.256689796761,270.338787432512
7,1,6,8|9|11|5|16|15|15|19|11|12|9|12|9|14|14|11|15|12|12,2,77,73,130.265575666406,270.338787432512
7,1,7,14|7|3|2|20|18|13|5|6|16|8|7|8|15|4|15|12|13|19,2,78,72,130.972860009729,270.338787432512
7,1,8,9|7|6|11|15|7|19|12|14|6|11|11|5|10|12|10|15|15|10,2,70,74,132.088170033648,270.338787432512
7,1,9,4|16|4|12|13|4|4|9|8|5|10|12|7|13|9|8|20|4|17,2,70,78,132.217417073063,270.338787432512
7,1,10,17|8|16|9|16|5|20|18|15|9|8|16|13|3|18|14|10|20|2,2,77,66,134.692067733252,270.338787432512
10,1,1,8|16|6|5|17|10|13|12|12|12|7|10|7|15|15|8|14|12|16,2,77,75,124.815112881958,271.215095750491
10,1,2,8|7|2|10|13|10|12|14|10|16|11|9|9|15|9|12|17|14|16,2,75,76,125.803199522395,271.215095750491
10,1,3,14|7|3|2|20|18|13|5|6|16|8|7|8|15|4|15|12|13|19,2,78,72,128.160919588381,271.215095750491
10,1,4,4|16|4|12|13|4|4|9|8|5|10|12|7|13|9|8|20|4|17,2,70,78,128.264496705511,271.215095750491
10,1,5,11|12|5|8|18|4|12|14|16|13|8|10|10|11|7|8|16|16|9,2,78,69,129.113940299292,271.215095750491
10,1,6,8|9|5|4|15|8|17|18|16|12|15|8|6|14|12|10|10|14|11,2,71,74,129.328692202493,271.215095750491
10,1,7,9|15|6|10|9|6|14|10|16|13|13|10|10|12|16|9|18|10|10,2,71,72,129.418181470074,271.215095750491
10,1,8,4|7|3|10|18|6|16|6|13|14|8|14|7|15|11|7|12|11|16,2,71,67,130.378430367252,271.215095750491
10,1,9,3|19|4|11|8|14|13|14|14|9|10|11|7|19|8|7|18|7|16,2,67,75,130.543612198213,271.215095750491
10,1,10,10|15|4|10|18|8|12|18|12|12|10|12|8|13|13|13|14|16|17,2,71,66,131.661521741553,271.215095750491
2,1,1,11|8|4|5|18|13|13|12|10|11|8|4|14|13|16|12|12|19|11,2,76,76,126.247660396313,276.420033466816
2,1,2,16|13|4|4|16|11|18|11|14|11|3|9|9|12|11|10|13|15|15,2,77,80,126.360816456173,276.420033466816
2,1,3,4|12|3|9|16|4|17|8|15|13|11|8|11|13|18|12|11|12|11,2,76,73,126.640397583202,276.420033466816
2,1,4,4|8|4|7|16|11|16|13|15|8|10|10|8|15|10|13|18|15|14,2,77,76,126.793205855598,276.420033466816
2,1,5,8|16|6|12|13|5|11|7|13|14|9|4|9|16|11|9|14|15|17,2,77,74,127.916167325733,276.420033466816
2,1,6,11|10|4|8|18|10|15|15|9|18|7|10|9|16|15|12|16|10|17,2,77,74,128.779069626889,276.420033466816
2,1,7,14|7|3|2|20|18|13|5|6|16|8|7|8|15|4|15|12|13|19,2,78,72,130.127831972363,276.420033466816
2,1,8,4|16|4|12|13|4|4|9|8|5|10|12|7|13|9|8|20|4|17,2,70,78,130.510119914301,276.420033466816
2,1,9,7|9|10|8|14|5|11|15|15|12|8|8|7|13|11|8|18|14|10,2,68,69,131.216041662007,276.420033466816
2,1,10,8|9|2|4|18|8|16|11|10|11|7|6|6|5|13|12|16|11|13,2,75,70,131.744364800862,276.420033466816
14,1,1,3|16|9|7|12|11|13|12|13|13|9|8|11|16|10|13|15|8|14,2,75,79,124.001841212262,289.80841101408
14,1,2,5|10|6|4|16|12|7|14|12|4|9|10|10|15|9|7|16|12|14,2,76,79,125.227043136882,289.80841101408
14,1,3,10|14|10|10|19|9|13|16|15|13|7|12|9|13|16|10|15|15|14,2,77,76,125.757100851673,289.80841101408
14,1,4,12|10|6|4|14|14|12|16|8|15|7|8|12|13|8|10|13|19|14,2,76,76,125.898414916266,289.80841101408
14,1,5,14|7|3|2|20|18|13|5|6|16|8|7|8|15|4|15|12|13|19,2,78,72,126.916948633775,289.80841101408
14,1,6,7|9|5|2|19|8|14|13|16|16|8|12|8|11|8|8|17|14|10,2,77,72,127.168950337182,289.80841101408
14,1,7,4|16|4|12|13|4|4|9|8|5|10|12|7|13|9|8|20|4|17,2,70,78,128.579124029991,289.80841101408
14,1,8,9|7|3|8|15|5|13|10|11|12|11|8|10|19|13|8|13|15|14,2,76,72,128.701254003329,289.80841101408
14,1,9,6|7|9|6|9|7|12|15|14|9|6|11|10|17|10|8|19|8|6,2,68,70,129.841274975121,289.80841101408
14,1,10,17|8|16|9|16|5|20|18|15|9|8|16|13|3|18|14|10|20|2,2,77,66,131.933014508798,289.80841101408
3,1,1,5|6|6|3|17|11|9|7|14|8|7|12|9|14|13|14|17|13|18,2,77,77,124.110820549017,296.747785302003
3,1,2,6|10|2|3|14|11|7|8|9|17|11|4|4|13|8|11|17|16|18,2,78,75,124.885264846556,296.747785302003
3,1,3,9|6|3|6|14|8|12|11|11|8|8|5|10|13|10|8|7|19|18,2,76,78,125.261579366384,296.747785302003
3,1,4,6|14|3|9|16|7|14|11|13|12|5|8|7|9|15|11|11|9|14,2,77,75,125.408391408069,296.747785302003
3,1,5,7|9|6|7|14|12|16|16|11|14|10|9|9|15|18|9|16|16|10,2,76,74,126.442307673665,296.747785302003
3,1,6,8|14|10|9|18|5|10|16|18|12|11|10|10|15|12|13|13|16|15,2,78,71,126.760537508496,296.747785302003
3,1,7,4|16|4|12|13|4|4|9|8|5|10|12|7|13|9|8|20|4|17,2,70,78,127.523673657457,296.747785302003
3,1,8,14|7|3|2|20|18|13|5|6|16|8|7|8|15|4|15|12|13|19,2,78,72,127.715780286788,296.747785302003
3,1,9,6|17|7|8|16|9|13|5|12|8|9|9|8|18|11|6|15|14|15,2,72,72,127.942126531602,296.747785302003
3,1,10,17|8|16|9|16|5|20|18|15|9|8|16|13|3|18|14|10|20|2,2,77,66,131.121452962285,296.747785302003
16,1,1,8|9|15|3|14|9|11|15|16|11|7|13|10|13|12|5|14|14|6,2,76,77,128.037573297957,292.876343584061
16,1,2,15|7|8|6|18|6|8|16|10|13|9|4|9|14|11|8|14|17|12,2,77,77,128.194987947983,292.876343584061
16,1,3,8|9|5|7|17|11|8|8|13|11|11|6|4|11|11|10|15|11|16,2,78,79,128.32475659156,292.876343584061
16,1,4,11|14|6|3|19|5|15|7|14|13|5|8|10|17|10|12|15|11|12,2,76,75,128.960090165248,292.876343584061
16,1,5,14|7|3|2|20|18|13|5|6|16|8|7|8|15|4|15|12|13|19,2,78,72,130.194862933583,292.876343584061
16,1,6,10|9|5|9|19|6|10|15|7|16|13|10|7|16|12|13|16|15|8,2,77,74,130.857646771685,292.876343584061
16,1,7,10|7|6|6|17|7|12|7|13|11|8|3|9|16|7|6|13|12|20,2,74,72,132.38586305915,292.876343584061
16,1,8,9|18|5|8|13|9|16|12|14|13|7|7|7|13|17|6|13|14|15,2,77,71,132.398786921745,292.876343584061
16,1,9,4|16|4|12|13|4|4|9|8|5|10|12|7|13|9|8|20|4|17,2,70,78,132.982525915271,292.876343584061
16,1,10,6|7|3|8|10|10|16|14|14|11|11|9|8|13|10|10|18|14|12,2,69,71,133.704931934938,292.876343584061
20,1,1,5|12|2|6|15|8|11|8|13|13|7|9|5|12|8|11|19|11|13,2,74,74,125.58864213059,297.918636016051
20,1,2,6|10|11|9|9|7|16|15|15|12|8|9|7|13|15|12|17|15|15,2,76,75,125.916453606937,297.918636016051
20,1,3,8|18|7|10|12|7|9|12|13|12|11|5|14|11|13|11|15|19|13,2,76,76,126.197044146517,297.918636016051
20,1,4,14|11|5|8|9|10|12|11|11|14|5|7|9|12|8|9|16|19|11,2,76,75,126.555561721655,297.918636016051
20,1,5,6|15|5|5|16|13|14|11|11|8|7|10|10|13|16|11|16|14|5,2,77,73,126.648789520818,297.918636016051
20,1,6,14|7|3|2|20|18|13|5|6|16|8|7|8|15|4|15|12|13|19,2,78,72,126.805098013973,297.918636016051
20,1,7,12|9|7|2|19|9|16|9|12|16|13|7|8|11|14|15|15|15|15,2,75,72,127.033835718825,297.918636016051
20,1,8,10|8|4|5|19|6|16|14|10|15|7|9|9|12|12|12|9|15|8,2,79,74,127.41149975045,297.918636016051
20,1,9,4|16|4|12|13|4|4|9|8|5|10|12|7|13|9|8|20|4|17,2,70,78,129.00288608419,297.918636016051
