repetition,cviter,trial,num.layers,units1,units2,units3,mse.test.mean,time.in.mins
1,1,1,1,64,64,64,100.307051910427,89.2001932819684
1,1,2,1,8,64,64,100.36606048919,89.2001932819684
1,1,3,1,56,64,11,100.461526288968,89.2001932819684
1,1,4,1,19,58,10,100.689954188298,89.2001932819684
1,1,5,1,64,60,26,100.701409120475,89.2001932819684
1,1,6,1,25,64,34,100.750608729649,89.2001932819684
1,1,7,1,43,59,8,100.805089127295,89.2001932819684
1,1,8,1,64,8,8,100.866091908285,89.2001932819684
1,1,9,1,64,8,64,101.014244196549,89.2001932819684
1,1,10,1,57,50,8,101.048984504188,89.2001932819684
3,1,1,1,64,8,30,99.9576245151912,89.9100089510282
3,1,2,1,64,43,64,100.039230519265,89.9100089510282
3,1,3,1,64,16,8,100.104138902036,89.9100089510282
3,1,4,1,37,61,36,100.188601020711,89.9100089510282
3,1,5,1,64,17,64,100.346528368793,89.9100089510282
3,1,6,1,19,58,10,100.38336456167,89.9100089510282
3,1,7,1,64,13,35,100.416073195434,89.9100089510282
3,1,8,1,56,64,11,100.462356371816,89.9100089510282
3,1,9,1,8,64,58,100.492715488061,89.9100089510282
3,1,10,1,64,28,64,100.553425561206,89.9100089510282
7,1,1,1,64,8,47,100.066626516283,89.1425153334935
7,1,2,1,64,44,64,100.071100584632,89.1425153334935
7,1,3,1,64,49,64,100.170480302732,89.1425153334935
7,1,4,1,64,48,9,100.513401558282,89.1425153334935
7,1,5,1,8,48,64,100.571671078555,89.1425153334935
7,1,6,1,64,17,64,100.615289300647,89.1425153334935
7,1,7,1,64,15,8,100.724601868026,89.1425153334935
7,1,8,1,15,63,64,100.726381184388,89.1425153334935
7,1,9,1,45,61,41,100.834043858237,89.1425153334935
7,1,10,1,56,64,11,100.867065181333,89.1425153334935
2,1,1,1,64,17,64,100.118389153354,90.3179122845332
2,1,2,1,64,16,8,100.167028954317,90.3179122845332
2,1,3,1,64,44,64,100.295322859121,90.3179122845332
2,1,4,1,8,64,25,100.399315436183,90.3179122845332
2,1,5,1,43,60,39,100.434195695718,90.3179122845332
2,1,6,1,13,62,64,100.447644156359,90.3179122845332
2,1,7,1,64,13,40,100.448344443716,90.3179122845332
2,1,8,1,47,56,55,100.564912652804,90.3179122845332
2,1,9,1,19,58,10,100.567496313578,90.3179122845332
2,1,10,1,64,51,8,100.702177514809,90.3179122845332
4,1,1,1,64,15,8,100.697047727683,91.2903067350388
4,1,2,1,64,8,31,100.798078537883,91.2903067350388
4,1,3,1,56,64,11,100.802268951404,91.2903067350388
4,1,4,1,64,14,35,100.894460367787,91.2903067350388
4,1,5,1,35,64,23,100.909011163956,91.2903067350388
4,1,6,1,64,49,8,100.935352664914,91.2903067350388
4,1,7,1,64,17,64,101.217721585459,91.2903067350388
4,1,8,1,64,56,8,101.357680912041,91.2903067350388
4,1,9,1,19,58,10,101.417966695766,91.2903067350388
4,1,10,1,64,61,37,101.456802087693,91.2903067350388
5,1,1,1,8,20,64,99.9115544560559,91.1288436492284
5,1,2,1,8,48,64,100.008980191905,91.1288436492284
5,1,3,1,56,64,11,100.127865533802,91.1288436492284
5,1,4,1,64,49,8,100.338563576292,91.1288436492284
5,1,5,1,19,58,10,100.407313517249,91.1288436492284
5,1,6,1,64,58,8,100.414112529328,91.1288436492284
5,1,7,1,8,64,61,100.513487708607,91.1288436492284
5,1,8,1,47,56,55,100.552876507304,91.1288436492284
5,1,9,1,38,61,40,100.610922286784,91.1288436492284
5,1,10,1,64,44,64,100.628091908056,91.1288436492284
6,1,1,1,8,56,64,100.005255405377,91.3384671489398
6,1,2,1,64,57,36,100.287431613799,91.3384671489398
6,1,3,1,64,8,8,100.412789467929,91.3384671489398
6,1,4,1,64,63,64,100.41354604125,91.3384671489398
6,1,5,1,64,18,64,100.441383645253,91.3384671489398
