repetition,cviter,train.cor,train.d,train.mse,train.mae,test.cor,test.d,test.mse,test.mae,time.in.mins,pred.type
1,1,0.897029629807934,0.94241110833191,90.0962429634936,6.26656558771531,0.890298654830188,0.939176599135225,95.9823395461159,6.40412821480466,178.637537431717,avg
1,1,0.897028603227065,0.942411508444556,90.0967286627877,6.26649756967696,0.890291476260496,0.939173731833607,95.9879341637327,6.40423213458348,178.637537431717,wavg
7,1,0.897597016177582,0.943028060016465,89.7993160263135,6.25280520217759,0.88517168520151,0.936452748307547,98.5636860959113,6.55553303133312,177.252273154259,avg
7,1,0.897597399418702,0.943029621275853,89.7987709515128,6.25274126840548,0.885174014668163,0.936455171468279,98.5618080519242,6.55544263813067,177.252273154259,wavg
14,1,0.898466687759777,0.943832359598673,88.8756407214151,6.22923848579519,0.887002944449608,0.937285245188296,98.8119873932417,6.42522937305132,174.81875115633,avg
14,1,0.898465048713078,0.94383200226509,88.8768468879887,6.22925851103305,0.887003749608534,0.937286251591438,98.8112639658756,6.42517078259792,174.81875115633,wavg
5,1,0.898383445184246,0.943369341914529,88.6542718411024,6.22101657294396,0.891850502025688,0.939017983854993,97.9305102729815,6.5070964987365,179.465051929156,avg
5,1,0.898383564713479,0.943369932501296,88.6540196835745,6.22095632198998,0.89185046240577,0.939018585115997,97.9303622273557,6.50706581064287,179.465051929156,wavg
11,1,0.898084182129322,0.943325766853067,89.3519174165115,6.20652573010474,0.885656759068382,0.937125010763445,97.7258368574733,6.44250244315749,181.891869982084,avg
11,1,0.898082951804335,0.943324838906842,89.3530359335496,6.20670555875372,0.885661946418194,0.937127335449592,97.7219497582714,6.44257802992095,181.891869982084,wavg
10,1,0.898722777374576,0.94377829271651,88.9274987776103,6.18715172559321,0.889028153166345,0.938428846074178,93.8768744596748,6.30989518057143,182.971715315183,avg
10,1,0.898720446783152,0.943777397659162,88.9294168622986,6.18714164227241,0.889029161642984,0.938429892506387,93.8759167310116,6.30979119364353,182.971715315183,wavg
15,1,0.897739888496118,0.943297718356342,89.2360616083776,6.22192394331917,0.889307564210893,0.938922437785965,98.6721552025186,6.48756722909718,182.063590904077,avg
15,1,0.89773878677513,0.943297416007108,89.2371129453863,6.22199064115865,0.889317042709124,0.938928105093517,98.6645453499379,6.48741876356514,182.063590904077,wavg
4,1,0.897913925169127,0.943615078100245,89.3803872790595,6.20571336654607,0.891812505982348,0.94032362061511,93.5028767329834,6.33783711342179,186.378872156143,avg
4,1,0.897917827034086,0.94361811672569,89.3770580644167,6.20558262835536,0.891819576535118,0.940328179866518,93.4970554649452,6.33763909357813,186.378872156143,wavg
12,1,0.898754360529611,0.943666719640334,88.8567073303398,6.19305854319063,0.892366698812589,0.940753555427223,91.8957773500829,6.30318962611094,184.784326569239,avg
12,1,0.898754630530081,0.943664855800961,88.8568316299467,6.19292257319166,0.892369262547127,0.940753703175242,91.8930732057914,6.30285373077132,184.784326569239,wavg
19,1,0.897656007431892,0.943174202514522,89.8880042997655,6.26325126130196,0.889629653166382,0.939079176471266,93.3977059838646,6.41136596950684,183.834894911448,avg
19,1,0.897656097491797,0.943172507575318,89.8882621608085,6.26333093188412,0.889630931450412,0.939078198030679,93.3967464958181,6.41141328201125,183.834894911448,wavg
9,1,0.899490723532652,0.943925107768482,88.0685982051996,6.187917263597,0.887677884249848,0.937331025831593,98.0538167735738,6.53979740520968,188.501716752847,avg
9,1,0.899484429607373,0.943920626787517,88.0738644015342,6.18808383652965,0.88767434744745,0.937327869223669,98.0567756326485,6.5399416226278,188.501716752847,wavg
18,1,0.90009474445554,0.9445979928033,87.6268306531188,6.18224718884998,0.882859728445348,0.934830487210873,100.842570013423,6.48279389790563,185.996771069368,avg
18,1,0.90009081452926,0.944597598196616,87.6297991162368,6.18229475307654,0.882856740179702,0.934830237394155,100.845025070197,6.48278043577252,185.996771069368,wavg
8,1,0.900008946225766,0.944408854251728,87.4769112830317,6.16477803942985,0.892191167482369,0.940198202113237,95.6612892411668,6.44907286847834,191.014056229591,avg
8,1,0.900001904693826,0.944404399641795,87.482826375719,6.16501828014689,0.89218622678596,0.940195353856748,95.6654677455043,6.4492838283474,191.014056229591,wavg
2,1,0.900048506213753,0.944235058532557,87.4732528145979,6.1427706553142,0.887911812969301,0.937397334188794,98.989585362835,6.52979921665709,194.590047840277,avg
2,1,0.900046216609009,0.944233336194055,87.475176125537,6.14291748936074,0.887911361168357,0.937396705773917,98.9899264270106,6.52989398422962,194.590047840277,wavg
17,1,0.898157674437725,0.943323354019254,89.1182573763685,6.23435862496664,0.890680321196927,0.938869660565809,96.2540366928559,6.5305655652378,192.144772899151,avg
17,1,0.898158126982724,0.943323521957213,89.1184252526706,6.23447326653695,0.890687991764132,0.938874041245445,96.247943694841,6.53048022396993,192.144772899151,wavg
16,1,0.899690750109687,0.944194566372897,87.9348056282107,6.19532893739354,0.884363815429279,0.935753995104605,100.460109812598,6.52814634958847,196.712049365044,avg
16,1,0.899690915348893,0.944193550329072,87.9348000545562,6.19533808962593,0.884362782876289,0.935752277432141,100.460917335349,6.52815943183359,196.712049365044,wavg
3,1,0.899717026738846,0.944132719225629,87.9818568702369,6.1722568508537,0.886781898142787,0.936765188895177,97.4414798178584,6.45810803500282,201.466257421176,avg
3,1,0.899713800748699,0.944129691063738,87.9847470979767,6.17236930174121,0.886781331570168,0.936763297490021,97.4420916082567,6.45809243797388,201.466257421176,wavg
6,1,0.897969086714456,0.943368446677557,89.1437450717822,6.21824272862679,0.889004519492585,0.938745919897185,98.1466344079028,6.50162835602211,204.241678400834,avg
6,1,0.897966593891105,0.943367337590579,89.1459004139441,6.21836079698052,0.889005563324491,0.93874661182406,98.1458845272455,6.50167945616941,204.241678400834,wavg
13,1,0.900553901824769,0.944943657051161,86.7217938008593,6.13328919262642,0.891027832702285,0.939067681777563,99.0762108480816,6.47681292960928,202.718022354444,avg
