repetition,cviter,trial,num.layers,units1,units2,units3,batch.normalization,dropouts1,dropouts2,dropouts3,mse.test.mean,time.in.mins
2,1,1,1,62,10,45,TRUE,0.433480654695868,0.471952679772386,0.491033495000387,203.858488339279,33.0712241172791
2,1,2,1,62,8,48,TRUE,0.444066692352113,0.367203185735585,0.491226586989159,207.209802916639,33.0712241172791
2,1,3,1,62,9,42,TRUE,0.45184658506432,0.400308015646554,0.489233227825341,209.546966024758,33.0712241172791
2,1,4,2,55,64,9,TRUE,0.438115504305461,0.178921469833585,0.389837011048803,211.709267352529,33.0712241172791
2,1,5,2,58,62,41,FALSE,0.161162536934717,0.102362446088227,0.133745732693933,212.259485877191,33.0712241172791
2,1,6,1,44,23,57,TRUE,0.33050400603679,0.236177367070923,0.302646140303114,212.844213927937,33.0712241172791
2,1,7,1,62,8,46,TRUE,0.451976656710031,0.471571240824414,0.475413555750856,213.433306580846,33.0712241172791
2,1,8,2,27,37,29,FALSE,0.377333061830723,0.253307486887206,0.383323340807692,214.764270670082,33.0712241172791
2,1,9,3,56,20,27,FALSE,0.345986303032259,0.363169920939254,0.206675818937947,215.761427616592,33.0712241172791
2,1,10,3,9,43,52,FALSE,0.21376713651751,0.237561345362844,0.125206235927449,215.964259153788,33.0712241172791
10,1,1,2,29,51,36,FALSE,0.185833491073572,0.485229941489524,0.280043360078707,218.562651879615,33.0535676320394
10,1,2,2,58,59,42,FALSE,0.161182293081445,0.417924071369213,0.12989758322785,222.327803070778,33.0535676320394
10,1,3,2,58,62,41,FALSE,0.161162536934717,0.102362446088227,0.133745732693933,224.648145790129,33.0535676320394
10,1,4,3,16,17,36,FALSE,0.129056582224439,0.358659196947701,0.162850627169246,225.29651155651,33.0535676320394
10,1,5,1,60,8,44,TRUE,0.494093627423599,0.464696626002495,0.47489760029664,226.26969063237,33.0535676320394
10,1,6,3,53,34,55,TRUE,0.487649318907643,0.1885878515488,0.362657150856103,226.838241042509,33.0535676320394
10,1,7,2,14,39,39,TRUE,0.471913254956598,0.436893427351606,0.240664194253623,227.072706302229,33.0535676320394
10,1,8,3,56,20,27,FALSE,0.345986303032259,0.363169920939254,0.206675818937947,227.866681736026,33.0535676320394
10,1,9,3,40,47,44,FALSE,0.413253449212061,0.151144936823403,0.355194612074411,230.385098171495,33.0535676320394
10,1,10,2,59,59,33,FALSE,0.336976690065646,0.373414661664774,0.127798957342732,231.062733518619,33.0535676320394
4,1,1,1,64,9,46,TRUE,0.448299185909668,0.195288366556913,0.482614973312818,188.679647638249,36.4809392491976
4,1,2,2,55,64,9,TRUE,0.438115504305461,0.178921469833585,0.389837011048803,188.892926200966,36.4809392491976
4,1,3,1,62,8,46,TRUE,0.451976656710031,0.471571240824414,0.475413555750856,189.314023447429,36.4809392491976
4,1,4,1,8,24,58,TRUE,0.498323864730957,0.183528094694698,0.114684405705422,189.323816534722,36.4809392491976
4,1,5,2,58,62,41,FALSE,0.161162536934717,0.102362446088227,0.133745732693933,191.547090541484,36.4809392491976
4,1,6,2,63,43,43,FALSE,0.207901832001517,0.115076669590781,0.491330125796958,192.7919032857,36.4809392491976
4,1,7,1,8,23,53,TRUE,0.444192449090464,0.181947741248875,0.22476105775357,193.344007440271,36.4809392491976
4,1,8,1,62,8,46,TRUE,0.441168906456148,0.492243020204431,0.47479294330731,194.786664186379,36.4809392491976
4,1,9,2,12,57,52,TRUE,0.304927424382186,0.272133646946168,0.297702273263712,198.040576648338,36.4809392491976
