repetition,cviter,trial,growth.factors,num.extra.layers,units1,units2,batch.normalization,dropouts1,dropouts2,dropouts3,mse.test.mean,time.in.mins
6,1,1,19|2|16|13|18|3|6|9|18|12|18|10|17|18|2|15|7|18|19,2,77,60,FALSE,0.366693904155937,0.152855937453345,0.132743834432823,167.388967777389,71.8562659819921
6,1,2,6|18|5|6|20|2|13|19|15|5|8|17|11|10|19|4|11|20|10,2,48,61,TRUE,0.271819857113028,0.355424977748547,0.452718796080444,167.724709826836,71.8562659819921
6,1,3,18|2|18|8|3|15|14|4|20|17|8|12|18|8|14|11|20|19|4,2,57,71,FALSE,0.189723976629858,0.197344941236616,0.362979000416369,171.079475560181,71.8562659819921
6,1,4,20|18|11|8|8|3|15|20|5|17|7|5|8|8|8|9|15|5|17,2,80,76,FALSE,0.302864366924883,0.23427949553794,0.318629754918063,172.745522157099,71.8562659819921
6,1,5,16|19|7|16|9|3|15|16|4|9|7|19|15|19|7|8|18|4|17,2,76,60,FALSE,0.191542545770048,0.365821935847152,0.128518601612029,177.14952104023,71.8562659819921
6,1,6,20|20|10|8|10|5|12|9|5|2|19|12|8|4|12|4|5|15|3,2,76,73,FALSE,0.17166756906081,0.289084785208643,0.350017005128141,178.815974790217,71.8562659819921
6,1,7,11|9|20|12|18|2|4|20|10|6|19|15|18|14|14|9|18|18|6,2,77,68,TRUE,0.198085461740452,0.209895028746268,0.452680289216069,179.567837536227,71.8562659819921
6,1,8,8|12|4|16|18|3|9|5|20|12|7|17|9|12|18|12|17|20|3,2,69,61,TRUE,0.372820774195823,0.2938261017924,0.462953185194427,179.577112039892,71.8562659819921
6,1,9,18|2|2|12|12|5|9|14|8|7|2|13|9|19|2|7|19|9|14,2,72,68,FALSE,0.390954280283768,0.442959702123279,0.3428676788328,180.408213763921,71.8562659819921
6,1,10,16|6|7|2|18|3|7|5|15|14|12|4|17|14|2|18|10|18|11,2,80,64,FALSE,0.415489230175201,0.209493562672517,0.207965774992408,180.483973049329,71.8562659819921
2,1,1,19|2|16|13|18|3|6|9|18|12|18|10|17|18|2|15|7|18|19,2,77,60,FALSE,0.366693904155937,0.152855937453345,0.132743834432823,174.159672091303,76.9705634673437
2,1,2,18|15|20|16|9|5|7|13|13|4|17|6|14|17|5|2|17|17|12,2,62,61,FALSE,0.232178420806257,0.136395774452047,0.179445215002247,174.596463400948,76.9705634673437
2,1,3,17|8|8|7|7|5|11|5|19|11|4|3|20|6|2|3|13|5|14,2,34,78,TRUE,0.404866364069032,0.179373325488996,0.188390696729318,179.180723630341,76.9705634673437
2,1,4,18|2|18|8|3|15|14|4|20|17|8|12|18|8|14|11|20|19|4,2,57,71,FALSE,0.189723976629858,0.197344941236616,0.362979000416369,180.058832330229,76.9705634673437
2,1,5,17|17|4|7|19|7|18|19|13|5|4|15|20|12|12|14|11|16|14,2,60,69,FALSE,0.286550754644993,0.181407473588563,0.402876280545371,180.563588091207,76.9705634673437
2,1,6,14|7|10|20|17|15|2|7|8|5|4|7|7|2|3|2|3|19|17,2,69,58,FALSE,0.137027950282209,0.335730820455445,0.493432866756876,181.98127376847,76.9705634673437
2,1,7,15|12|4|14|12|3|20|4|11|13|11|6|16|11|12|5|15|19|19,2,61,65,FALSE,0.395988161336237,0.377955750000771,0.370249084317878,182.031073507899,76.9705634673437
2,1,8,19|7|20|18|5|5|2|12|7|11|7|18|16|15|3|18|7|5|5,2,34,70,FALSE,0.133242847236351,0.19415869528893,0.3135323058351,182.287216668678,76.9705634673437
2,1,9,19|16|20|9|15|5|14|19|6|15|5|17|20|18|5|19|13|4|12,0,75,70,TRUE,0.314608515761434,0.157711799030837,0.374798306839791,183.211231919783,76.9705634673437
2,1,10,20|20|10|8|10|5|12|9|5|2|19|12|8|4|12|4|5|15|3,2,76,73,FALSE,0.17166756906081,0.289084785208643,0.350017005128141,184.111042004943,76.9705634673437
1,1,1,18|7|18|2|3|2|10|9|3|6|20|13|14|17|2|5|3|20|18,2,78,72,FALSE,0.324713229846507,0.202419436854578,0.16377133714973,166.23727297962,77.4105937163035
1,1,2,19|2|16|13|18|3|6|9|18|12|18|10|17|18|2|15|7|18|19,2,77,60,FALSE,0.366693904155937,0.152855937453345,0.132743834432823,166.24348235385,77.4105937163035
1,1,3,18|2|18|8|3|15|14|4|20|17|8|12|18|8|14|11|20|19|4,2,57,71,FALSE,0.189723976629858,0.197344941236616,0.362979000416369,170.618840993265,77.4105937163035
1,1,4,12|19|18|19|5|7|15|20|19|15|8|11|5|8|16|13|17|12|14,2,52,78,FALSE,0.198373082967009,0.251498305862949,0.407450197722154,173.388133618119,77.4105937163035
1,1,5,10|17|18|13|4|20|12|11|17|8|20|11|18|20|4|20|11|2|5,2,75,79,TRUE,0.243129209877672,0.210768646582997,0.191817601940308,173.973810204136,77.4105937163035
1,1,6,18|2|2|12|12|5|9|14|8|7|2|13|9|19|2|7|19|9|14,2,72,68,FALSE,0.390954280283768,0.442959702123279,0.3428676788328,174.279953987339,77.4105937163035
1,1,7,17|2|9|10|7|10|12|19|17|19|6|17|20|15|8|19|20|9|11,2,51,21,FALSE,0.221300756844424,0.20668665595863,0.286582066843029,174.665732747189,77.4105937163035
1,1,8,13|7|15|16|3|13|10|8|16|13|3|8|11|2|11|10|6|16|20,2,74,73,FALSE,0.247075458180017,0.155636265738247,0.375424213021061,174.953602015817,77.4105937163035
1,1,9,20|20|10|8|10|5|12|9|5|2|19|12|8|4|12|4|5|15|3,2,76,73,FALSE,0.17166756906081,0.289084785208643,0.350017005128141,175.546031616737,77.4105937163035
1,1,10,18|18|18|11|3|13|6|2|15|11|16|17|20|18|15|18|20|8|15,2,32,69,FALSE,0.384246049137937,0.242118962920436,0.170277894163958,175.592488083671,77.4105937163035
8,1,1,19|2|16|13|18|3|6|9|18|12|18|10|17|18|2|15|7|18|19,2,77,60,FALSE,0.366693904155937,0.152855937453345,0.132743834432823,170.069422575684,75.8582781155904
8,1,2,18|10|12|10|7|3|16|16|15|6|5|7|16|14|13|19|11|20|9,2,74,67,FALSE,0.158689158454952,0.192733076526967,0.102983509735176,172.761534790917,75.8582781155904
8,1,3,15|8|11|13|17|10|3|3|11|17|10|13|18|4|15|10|17|19|15,2,79,74,FALSE,0.141534154165828,0.194355100437669,0.36496261465819,174.495349642402,75.8582781155904
8,1,4,18|2|18|8|3|15|14|4|20|17|8|12|18|8|14|11|20|19|4,2,57,71,FALSE,0.189723976629858,0.197344941236616,0.362979000416369,175.778041853845,75.8582781155904
8,1,5,19|12|15|18|8|2|15|18|18|16|11|7|17|8|2|12|7|19|20,2,70,75,FALSE,0.216131674657038,0.318186878085532,0.148783441888529,178.631673099606,75.8582781155904
8,1,6,19|16|20|9|15|5|14|19|6|15|5|17|20|18|5|19|13|4|12,0,75,70,TRUE,0.314608515761434,0.157711799030837,0.374798306839791,179.956557264569,75.8582781155904
8,1,7,15|12|4|14|12|3|20|4|11|13|11|6|16|11|12|5|15|19|19,2,61,65,FALSE,0.395988161336237,0.377955750000771,0.370249084317878,181.450021200699,75.8582781155904
8,1,8,19|15|8|18|7|2|12|2|18|19|8|10|16|11|7|15|6|19|6,2,60,76,FALSE,0.334318035541694,0.308390017507571,0.115720510182488,181.673570012982,75.8582781155904
8,1,9,12|19|18|19|5|7|15|20|19|15|8|11|5|8|16|13|17|12|14,2,52,78,FALSE,0.198373082967009,0.251498305862949,0.407450197722154,182.198326405949,75.8582781155904
8,1,10,14|7|10|20|17|15|2|7|8|5|4|7|7|2|3|2|3|19|17,2,69,58,FALSE,0.137027950282209,0.335730820455445,0.493432866756876,182.19899359942,75.8582781155904
10,1,1,20|14|20|15|16|5|19|4|6|7|5|12|20|12|3|17|5|19|15,2,59,75,FALSE,0.244619106253947,0.151784028020824,0.293735815041982,167.651676878264,75.3117967844009
10,1,2,19|2|16|13|18|3|6|9|18|12|18|10|17|18|2|15|7|18|19,2,77,60,FALSE,0.366693904155937,0.152855937453345,0.132743834432823,169.266989043173,75.3117967844009
10,1,3,18|2|18|8|3|15|14|4|20|17|8|12|18|8|14|11|20|19|4,2,57,71,FALSE,0.189723976629858,0.197344941236616,0.362979000416369,172.683763705942,75.3117967844009
10,1,4,20|17|10|7|16|7|13|18|10|10|5|8|3|9|9|5|9|12|18,0,56,73,TRUE,0.342629289105893,0.277503207555184,0.302744934875339,172.965063280278,75.3117967844009
10,1,5,20|20|10|8|10|5|12|9|5|2|19|12|8|4|12|4|5|15|3,2,76,73,FALSE,0.17166756906081,0.289084785208643,0.350017005128141,172.969006849433,75.3117967844009
10,1,6,20|15|11|2|15|7|16|11|8|13|5|9|8|20|10|17|4|16|16,2,71,71,FALSE,0.216641418476809,0.152050759196773,0.352497742987852,175.989116923689,75.3117967844009
10,1,7,19|16|20|9|15|5|14|19|6|15|5|17|20|18|5|19|13|4|12,0,75,70,TRUE,0.314608515761434,0.157711799030837,0.374798306839791,178.315388642495,75.3117967844009
10,1,8,16|12|20|5|9|20|5|7|5|5|16|16|4|17|6|3|13|12|7,2,47,67,FALSE,0.464400591911016,0.155567142401846,0.348863197512473,180.794126455189,75.3117967844009
10,1,9,12|19|18|19|5|7|15|20|19|15|8|11|5|8|16|13|17|12|14,2,52,78,FALSE,0.198373082967009,0.251498305862949,0.407450197722154,181.704459931985,75.3117967844009
10,1,10,15|2|8|5|7|5|9|18|14|8|4|16|20|15|13|17|16|10|11,2,32,66,FALSE,0.301414856932742,0.348443636368929,0.220964232012994,181.888850050475,75.3117967844009
