repetition,cviter,trial,growth.factors,num.extra.layers,units1,units2,batch.normalization,dropouts1,dropouts2,dropouts3,mse.test.mean,time.in.mins
10,1,1,15|5|17|5|11|20|14|13|5|6|19|20|2|19|2|3|13|5|12|2|7|19|7|15|16|17|14|16|7,2,69,48,FALSE,0.176155342976563,0.124054469638375,0.214164385446606,108.695777078932,255.407434165478
10,1,2,6|18|4|12|3|4|7|6|4|6|11|11|6|13|17|15|3|12|20|15|17|14|11|14|9|12|19|3|20,2,44,47,TRUE,0.275798335320246,0.315395986760598,0.478957914817205,109.577291713593,255.407434165478
10,1,3,6|5|17|14|18|18|4|18|10|18|17|19|9|16|10|13|19|4|7|20|19|3|18|10|17|19|15|13|13,2,77,60,TRUE,0.464016985956631,0.335285360223174,0.240037268291538,109.721944990298,255.407434165478
10,1,4,9|10|10|16|15|12|16|17|12|11|8|3|18|8|13|12|5|9|17|9|18|6|7|5|5|5|6|13|13,2,56,67,TRUE,0.266233271174626,0.326581768997497,0.495965544998106,110.147516288995,255.407434165478
10,1,5,16|8|19|16|9|12|18|5|11|19|6|17|20|4|16|16|10|2|10|10|18|9|2|10|17|18|6|5|4,0,44,70,TRUE,0.415733451867062,0.427244742786408,0.351146365801752,110.166160566482,255.407434165478
10,1,6,13|2|9|7|12|4|20|2|20|7|11|16|17|3|12|10|18|17|2|17|5|7|10|7|6|19|2|15|4,2,72,57,TRUE,0.483381671441667,0.463672081679235,0.184449918896684,110.225968327889,255.407434165478
10,1,7,11|12|3|5|17|6|9|19|5|5|19|20|19|8|15|3|12|15|12|12|19|14|11|20|16|2|19|20|3,0,36,64,TRUE,0.476178923118601,0.199356738969477,0.156809158216412,110.443932077952,255.407434165478
10,1,8,19|8|12|12|5|16|9|10|8|11|20|14|7|15|8|14|6|13|11|15|6|16|4|5|8|11|20|9|8,2,36,43,TRUE,0.197176023962028,0.188926948559108,0.478845143400314,110.460342717547,255.407434165478
10,1,9,11|5|7|6|9|11|12|10|3|10|7|18|5|12|20|9|2|9|19|15|18|2|2|6|19|5|5|9|9,2,67,44,TRUE,0.461110246994709,0.413162346674552,0.13566335951007,110.505362338326,255.407434165478
10,1,10,13|10|3|10|16|3|4|5|17|11|3|20|17|6|12|4|17|18|15|9|12|11|8|17|4|2|18|19|20,2,36,79,FALSE,0.18388500914508,0.141373323624591,0.398702044112401,110.58372730185,255.407434165478
2,1,1,11|12|3|5|17|6|9|19|5|5|19|20|19|8|15|3|12|15|12|12|19|14|11|20|16|2|19|20|3,0,36,64,TRUE,0.476178923118601,0.199356738969477,0.156809158216412,108.526050636161,258.237627049287
