repetition,cviter,train.cor,train.d,train.mse,train.mae,test.cor,test.d,test.mse,test.mae,time.in.mins,pred.type
1,1,0.899576481861012,0.942895605659069,88.3455886180237,6.2301427021841,0.891607586294383,0.939006358417159,94.9598496608021,6.42675695138904,96.6181616425514,avg
1,1,0.899579547129461,0.942898098443404,88.3426475347711,6.23011445721608,0.891606579623897,0.939006579328147,94.9604299483447,6.42685259712912,96.6181616425514,wavg
4,1,0.900628262527853,0.94363043500356,87.5814730199137,6.20912758463616,0.893296585094879,0.939682714597418,92.5289322288758,6.3997157363839,97.3344726165136,avg
4,1,0.900626967582242,0.943631776695114,87.5817931508225,6.20914934960991,0.893295534570657,0.939684314067005,92.5291884902485,6.39977564073771,97.3344726165136,wavg
2,1,0.902162833085573,0.944869932125954,85.9858632159095,6.12520883369895,0.888349353863986,0.937081363517878,98.8132168474914,6.55324034061425,98.4541684269905,avg
2,1,0.902164349022596,0.944872180567511,85.9840303465925,6.12509888942042,0.888349496424286,0.937082932741107,98.8126181388067,6.55319313721409,98.4541684269905,wavg
3,1,0.901338025261141,0.944504170872967,86.8855808114816,6.15511566124512,0.889285609396666,0.937560142692079,95.7362499478866,6.45493934767033,101.96566088597,avg
3,1,0.901341706680985,0.944507228837196,86.8821803802544,6.15494617874157,0.889284872508542,0.937560963511938,95.7364552644382,6.45489764562822,101.96566088597,wavg
6,1,0.901302555221596,0.944165027204993,86.7138839843857,6.19503772101808,0.890367660094816,0.938436875173164,97.1870757392728,6.51052632652919,100.296025101344,avg
6,1,0.901301049227816,0.944164643958478,86.7146643530818,6.19520868254336,0.890366400722643,0.938436757030771,97.1875687109526,6.5107424141079,100.296025101344,wavg
7,1,0.902580369180841,0.945081800394079,85.9516377556479,6.14271624842067,0.886921789072163,0.936715945024715,97.2837512254809,6.55848618748802,102.105588237445,avg
7,1,0.902581278260603,0.945084269513229,85.9496511919752,6.14278659706634,0.886926382020202,0.936720483005976,97.2790945131703,6.55852543672759,102.105588237445,wavg
9,1,0.899633610838345,0.942743976687874,88.383612949983,6.21991711097376,0.888093585922559,0.93635540322938,98.0832847274373,6.60021506909049,100.55582802693,avg
9,1,0.899633333044383,0.942745606263214,88.3830745375894,6.21994172904095,0.888094264007981,0.936357755296063,98.0820665442594,6.60024690476308,100.55582802693,wavg
14,1,0.900903596785539,0.944026576879655,87.1038462642736,6.19500408408223,0.886656561023294,0.93578293808946,99.4745466052518,6.47847401711491,100.511500446002,avg
14,1,0.90091007652535,0.944031130526985,87.0982274831816,6.19483878751395,0.886657885679982,0.935784704134798,99.4731950805432,6.47849244079456,100.511500446002,wavg
8,1,0.899642637434612,0.94366528539108,87.9306536176033,6.2053010707627,0.891994631852851,0.939614578574524,95.8443222094296,6.49045272356624,103.175228563945,avg
8,1,0.899648790423005,0.943667535822869,87.9259006797466,6.20514715095018,0.891996092334527,0.939614262314629,95.8432575549037,6.49041445978009,103.175228563945,wavg
12,1,0.900596953690842,0.944337344843795,87.4579221329759,6.22917801192967,0.893620353536292,0.94114059622521,90.8325978281029,6.38039922166269,102.329725213846,avg
12,1,0.90060126437029,0.94434018770218,87.4541929716259,6.22906065199508,0.893621105520078,0.941141464982121,90.8319818831051,6.38036502172934,102.329725213846,wavg
10,1,0.900773446200897,0.94357260437993,87.7602906809057,6.20381545847814,0.889191012098228,0.937217778012763,93.9766939892558,6.37747985769389,103.990987082322,avg
10,1,0.900779767597355,0.943577028254121,87.7547674608984,6.20362274714394,0.889192772018476,0.937219573630012,93.9750842751755,6.37738284897697,103.990987082322,wavg
15,1,0.900355820119717,0.943965688945729,87.3060661313177,6.18371067447598,0.891361587061865,0.939181041995878,97.0034802887603,6.51008418214549,103.114162055651,avg
15,1,0.900347658887654,0.943959837897022,87.3130466715443,6.18402033800723,0.891359761059523,0.939178700344244,97.005228423871,6.5101810907554,103.114162055651,wavg
11,1,0.901102674463651,0.943547465432383,87.4425388491452,6.19426192798186,0.885455898599726,0.935399405102091,98.0306851417314,6.52498516165292,105.389531326294,avg
11,1,0.90111330956994,0.943556447780823,87.4325464120311,6.19386395557976,0.885457817081677,0.935403201534901,98.0284988661089,6.52483973943638,105.389531326294,wavg
19,1,0.899801497281171,0.943194358017843,88.4338604004816,6.23144801864662,0.89076643886273,0.938563487688746,92.747470575572,6.4176995733254,102.845445728302,avg
19,1,0.899792570265525,0.94319273456098,88.4397244555083,6.23172950242489,0.890764452759798,0.938566125655105,92.7479058197186,6.41778671751578,102.845445728302,wavg
20,1,0.901734407592908,0.944384520551215,86.6613334393551,6.19327834313989,0.887085806759008,0.936508634581348,97.1435284732515,6.52256384696648,102.956448543072,avg
20,1,0.901738190683744,0.944385220106429,86.6587162911038,6.19316978403696,0.887088430597141,0.936508627599956,97.1416663243211,6.52245900952308,102.956448543072,wavg
16,1,0.901159200619219,0.944132578141615,86.9660081564453,6.18128845914451,0.885604542607048,0.935311559762486,99.7649054508688,6.58101864077137,105.132888134321,avg
16,1,0.901155748659819,0.94413283256488,86.9678544154264,6.18141111492544,0.885602156546488,0.93531271300234,99.7658966971155,6.58106700687495,105.132888134321,wavg
13,1,0.898756150162467,0.94299507927074,88.4906741118745,6.23575692092291,0.89114073076853,0.938142729122466,99.4957763579489,6.5610168468689,108.291174900532,avg
13,1,0.898762313373063,0.942997671651404,88.4856532335752,6.23566911346508,0.891144625943123,0.938144120380421,99.4922230011626,6.56103346181064,108.291174900532,wavg
18,1,0.90348981416579,0.945438268457177,85.1750609436205,6.13057931442455,0.883097102729705,0.934062802109725,100.710715801474,6.47925866351116,106.333545994759,avg
18,1,0.903484831556786,0.945435381626702,85.1791546872265,6.13073301989955,0.883097564746785,0.934062875764098,100.710365303452,6.47931318949862,106.333545994759,wavg
5,1,0.90349957769072,0.945360935814054,84.7395088019834,6.10733809915804,0.892309249465177,0.938199869576949,98.0083419953792,6.48739572623362,110.117512615522,avg
5,1,0.903501894332947,0.945363491470216,84.7370544229977,6.10730774124764,0.892310064117351,0.938201884567598,98.0068956494528,6.48740723105076,110.117512615522,wavg
17,1,0.901838853442346,0.944145493638387,86.4457257302087,6.16980379854946,0.890324213657906,0.93729737877211,96.9741196073066,6.58673477995066,112.404425958792,avg
17,1,0.901838390125091,0.944146179187995,86.4457334829691,6.16982306895385,0.890325614387499,0.937298860428323,96.9727378864549,6.58670280376572,112.404425958792,wavg
4,2,0.902187467731982,0.945219306673612,86.0398767179052,6.15439245341105,0.88703736281691,0.936734870195125,97.2735888856201,6.5103437879213,98.2223263502121,avg
4,2,0.902186488882058,0.945218371538786,86.0408015409981,6.15444259971423,0.8870375867591,0.936734574359019,97.2734898331554,6.5103588983314,98.2223263502121,wavg
1,2,0.899927672151195,0.943816153773182,88.1276128348396,6.21331016100864,0.88739740014138,0.936742142681359,95.5489136103041,6.52393586179648,102.276422746976,avg
1,2,0.899928930777123,0.943814507495359,88.127430164209,6.21334193756854,0.887395797718868,0.936738843121549,95.5508223916225,6.52399921152908,102.276422746976,wavg
2,2,0.902309576233296,0.944990603318959,85.6566076483801,6.12847811057866,0.892400377209389,0.939595588163384,97.2048073651301,6.37783578398872,102.586603395144,avg
2,2,0.902312570727072,0.944992429314775,85.6540228353999,6.12829315776737,0.892402004359214,0.93959648264383,97.203365985385,6.3776799996948,102.586603395144,wavg
3,2,0.896308493882297,0.940895349198574,90.9827340061072,6.32475310830049,0.892093238542748,0.938057131072659,96.3476793473459,6.43376368423567,100.629979666074,avg
3,2,0.896311082594937,0.940897959208038,90.9800797154394,6.32467776820958,0.89209563103477,0.938059607093831,96.3451547966742,6.43371570936873,100.629979666074,wavg
6,2,0.901312898413758,0.944069966100365,87.1166629600736,6.18510170208508,0.883703450176129,0.934389061638643,98.7535074480565,6.62143384612701,105.143219629924,avg
6,2,0.901310392757831,0.944070152650696,87.1180239399369,6.18514477049179,0.883703690199071,0.9343908521483,98.7528827900261,6.62139936810766,105.143219629924,wavg
7,2,0.901047571680783,0.94410112237541,87.1046817207363,6.19003805441483,0.888863811073,0.937389813280819,96.6261511570315,6.57375227416488,105.109920402368,avg
7,2,0.901050627587104,0.944103506155355,87.1021859332373,6.1898849572305,0.888861897827312,0.937389303815903,96.6278887395263,6.57372660906174,105.109920402368,wavg
15,2,0.902758789693888,0.945095569669675,85.5623191501319,6.11036684686911,0.892621865793606,0.939466454696989,95.1361078717045,6.48096559319944,99.8105942606926,avg
15,2,0.902758878980506,0.945093826147599,85.5630537011699,6.11032961446321,0.892619026622732,0.939462927453193,95.1391061307829,6.4809486498224,99.8105942606926,wavg
20,2,0.902107442238122,0.944658094560723,86.1198165748825,6.13797912434694,0.894345412285687,0.940194100355253,93.5838223617848,6.38074668812953,97.7673301100731,avg
20,2,0.902103829595993,0.944655399665825,86.1231454071989,6.13807223773714,0.894344276336471,0.940192618969431,93.5853275729713,6.38076579352762,97.7673301100731,wavg
8,2,0.90035802237454,0.943439914662119,88.0936177941374,6.20441532813076,0.885286483541918,0.934988134425871,96.2742258925366,6.49033701994539,103.007877246539,avg
8,2,0.90036197710516,0.943441439488288,88.090624488064,6.20440987784139,0.885288370621497,0.934988363541861,96.2729514293094,6.49034405171777,103.007877246539,wavg
14,2,0.901370131250184,0.943991235979416,86.9849496338198,6.16875921411694,0.889427828238839,0.938224797450702,96.1554854583405,6.4947118493561,104.679056406021,avg
14,2,0.901376997074656,0.943996370291483,86.9784672303982,6.16858023318592,0.889428736867216,0.938226644769388,96.1539691891307,6.49465908600107,104.679056406021,wavg
19,2,0.901587929762568,0.944289188033335,86.9886842304989,6.20162996713062,0.891055251761619,0.938491392516644,91.6966895454553,6.36613664600673,101.093696757158,avg
19,2,0.901589476388444,0.944292372007379,86.9863987283477,6.20157974368739,0.891056059090905,0.938494218082642,91.6952612186524,6.36613737384977,101.093696757158,wavg
10,2,0.900892242833068,0.944054292235518,87.1439320933509,6.1740230441721,0.888503724648151,0.937689806249768,97.6714543391342,6.47997643595968,104.018944577376,avg
10,2,0.900888707475503,0.944052495816868,87.1467408720069,6.17413593633366,0.888502204680272,0.937689024273285,97.6726878620856,6.48006093395733,104.018944577376,wavg
11,2,0.8985392762536,0.942369026844029,89.2883962542995,6.24504310414315,0.889045185444573,0.93737904111388,96.8366254094341,6.5284974406602,102.586370138327,avg
11,2,0.898540207122156,0.942371782989348,89.2866157936553,6.24500150766806,0.889045423029709,0.937381334633378,96.8356743204544,6.52849270647644,102.586370138327,wavg
12,2,0.901951720803211,0.94437853601596,86.4621481505286,6.1658628821082,0.893546047900263,0.940562386672141,92.8501397755175,6.39770688958008,106.002249209086,avg
12,2,0.901957400109902,0.944382497255393,86.456932159809,6.16573412926002,0.893548279546389,0.940564406462212,92.8480156174016,6.39769358455655,106.002249209086,wavg
9,2,0.900380420812418,0.943742536435447,87.725982460371,6.19795262580907,0.891666139791142,0.938717077638516,93.6058952222854,6.36962857961641,109.318367036184,avg
9,2,0.900384509490496,0.943744541613395,87.7228627684432,6.19778233272784,0.891667669504083,0.93871750239046,93.6049838019109,6.36953206609012,109.318367036184,wavg
13,2,0.902237577575648,0.944119269493628,86.5510545853603,6.16952822900682,0.883255145303218,0.934305133054881,99.8645639546232,6.56214316056086,104.604774415493,avg
13,2,0.902232861146025,0.944112025917605,86.5568923102336,6.16977730192984,0.883255744986815,0.934301131384719,99.8648059172796,6.56227252894126,104.604774415493,wavg
18,2,0.900947474224461,0.943423101285184,87.4147038799062,6.19246894463451,0.888941223831725,0.936436656316007,97.6809111148064,6.56293794291332,104.908287612597,avg
18,2,0.900948261959255,0.943422167727739,87.4146239637011,6.19245061559698,0.888939860582582,0.936434460254476,97.6824894135966,6.56298021000612,104.908287612597,wavg
5,2,0.899912153270865,0.943546288671269,87.9527815531708,6.25536126238113,0.891138781675558,0.939047464199149,95.1374126663985,6.44230942764472,99.8696427941322,avg
5,2,0.899923995345094,0.943552656271885,87.9431682546837,6.25505241325459,0.891141101075973,0.939048785319583,95.1354723860031,6.44222123135224,99.8696427941322,wavg
16,2,0.901312271844543,0.944288145486777,86.8684906901679,6.19365931738595,0.889987296148129,0.938586456233595,95.1820429051587,6.49398300691159,107.428610952695,avg
16,2,0.901309086452902,0.944286577551049,86.8709182125099,6.19381370748511,0.889985778526271,0.938585630469023,95.1832614982707,6.49409087050666,107.428610952695,wavg
17,2,0.902225032092718,0.9442752874223,86.5533003769476,6.17365185745404,0.88237482694007,0.933933735205908,99.2628435340141,6.58745268293352,109.738482713699,avg
17,2,0.902226170609637,0.944277443200447,86.5516594609496,6.17360462313779,0.882374231785738,0.933934865351423,99.2630166544849,6.58749143703932,109.738482713699,wavg
4,3,0.901879770185952,0.944170283662354,86.430974222418,6.15585724871547,0.890075339403371,0.93841462409497,97.1120633142622,6.50448767747692,101.449135549863,avg
4,3,0.901885986426441,0.944174981044679,86.4254893568923,6.15571338663147,0.890074982512075,0.938415983004318,97.1120574426401,6.5045089258548,101.449135549863,wavg
1,3,0.899937045272902,0.943471640368429,87.988073349885,6.2143812617643,0.8909479341915,0.938307828472552,95.769387226896,6.54727211450455,102.579391086102,avg
1,3,0.899939011922209,0.943472549768762,87.9864839432579,6.21432143910407,0.890948418013366,0.938307962201383,95.7689466134301,6.54724716832945,102.579391086102,wavg
2,3,0.901638179077053,0.944221958318802,86.778473764875,6.15492794177203,0.896408412820843,0.941337461735289,90.2669197512688,6.34389288157091,101.970030216376,avg
2,3,0.901640726637561,0.944223068278286,86.7765996785787,6.15487070251858,0.896408097465087,0.94133691520066,90.2673768868813,6.34390551993583,101.970030216376,wavg
3,3,0.901024147354106,0.944017194891111,87.2029781306152,6.1806521346082,0.895242783881761,0.942122994437721,90.6468527228527,6.35929535010179,103.545881517728,avg
3,3,0.901037560389049,0.944026647265329,87.1913737667762,6.18028688509599,0.895246129825064,0.942127105935652,90.6439019064979,6.359226483415,103.545881517728,wavg
7,3,0.89976048839228,0.943609022008907,88.0718439365525,6.18260529198968,0.887743772944262,0.938142555818997,98.153366916885,6.54796872376087,100.52351189057,avg
7,3,0.899755963378568,0.943605109280847,88.07619190187,6.18290571577538,0.88774204621734,0.938140555686733,98.1549751601924,6.54820501923066,100.52351189057,wavg
6,3,0.89952035569538,0.943078962623251,88.3091818666907,6.22260999999639,0.887752969611613,0.935911960252645,99.2766305513626,6.58426700488486,103.378517131011,avg
6,3,0.899523553995145,0.943083807742787,88.3052453997065,6.22254490785257,0.887756993225264,0.935917601198245,99.2719116511845,6.58417223683618,103.378517131011,wavg
12,3,0.900226289452885,0.943412742810396,87.8051433221554,6.198914893715,0.889597734583094,0.938226501838977,96.8192706617326,6.51615282948659,93.4194478710492,avg
