repetition,cviter,trial,growth.factors,num.extra.layers,units1,units2,batch.normalization,dropouts1,dropouts2,dropouts3,mse.test.mean,time.in.mins
3,1,1,17|12|2|15|14|8|9|19,0,19,16,TRUE,0.284310433043178,0.298836120843024,0.235446589545178,104.779394670672,239.790589519342
3,1,2,15|7|17|17|9|16|17|18,0,17,64,TRUE,0.157747449488971,0.384883395265115,0.309057168538707,105.570202072182,239.790589519342
3,1,3,16|12|11|9|13|17|6|18,0,17,28,TRUE,0.24103895854206,0.439589615816935,0.417812932337299,106.132002884496,239.790589519342
3,1,4,16|14|11|7|15|9|9|18,0,18,67,TRUE,0.265055685374705,0.341815355989751,0.395538198988432,106.198459799711,239.790589519342
3,1,5,20|8|17|11|14|7|13|16,0,47,19,TRUE,0.286953559528726,0.327030519632002,0.242128774972322,106.63623821749,239.790589519342
3,1,6,20|8|16|11|15|14|11|19,0,17,44,TRUE,0.134434235355731,0.27274241849435,0.437272170180254,106.8834656552,239.790589519342
3,1,7,20|14|7|16|14|7|13|19,0,18,17,TRUE,0.454186467499321,0.272680351143425,0.388199153022217,107.041857916158,239.790589519342
3,1,8,20|3|17|9|18|13|14|18,0,42,9,TRUE,0.429773468416536,0.293414770711156,0.34390203474193,107.047631026845,239.790589519342
3,1,9,18|14|18|8|5|5|18|17,0,74,16,TRUE,0.156855974695645,0.401922010226796,0.307799915464905,107.326975906643,239.790589519342
3,1,10,15|8|11|11|9|16|8|18,0,64,72,TRUE,0.209090031059022,0.485278771416786,0.289591678547772,107.44243662721,239.790589519342
4,1,1,20|7|18|18|6|9|18|19,0,51,16,TRUE,0.161136858584386,0.26431640426219,0.299641454456646,105.691656829795,250.264948352178
4,1,2,16|5|15|13|17|14|13|18,0,17,24,TRUE,0.216923890786704,0.373097095055578,0.236005965067394,106.187808133594,250.264948352178
4,1,3,13|7|18|15|13|13|13|18,0,17,25,TRUE,0.209406431808718,0.257998771174056,0.286615573145771,106.302087646026,250.264948352178
4,1,4,20|6|15|19|15|11|16|19,0,72,29,TRUE,0.186984680619429,0.282147330484209,0.303219403075341,106.649115973412,250.264948352178
4,1,5,18|17|9|20|13|13|12|19,0,18,60,TRUE,0.396124539962788,0.338366377857123,0.301653346307217,106.846827704317,250.264948352178
4,1,6,20|8|17|11|14|7|13|16,0,47,19,TRUE,0.286953559528726,0.327030519632002,0.242128774972322,107.49234562881,250.264948352178
4,1,7,16|14|4|17|16|3|15|15,0,17,26,TRUE,0.116066733010905,0.332865744290414,0.301562257783937,107.873194631153,250.264948352178
4,1,8,20|2|4|12|19|6|12|19,0,25,18,TRUE,0.282707412433811,0.482140942296634,0.469698979663663,107.964514207116,250.264948352178
4,1,9,18|14|18|8|5|5|18|17,0,74,16,TRUE,0.156855974695645,0.401922010226796,0.307799915464905,107.988857484263,250.264948352178
4,1,10,16|3|7|20|13|13|12|14,0,18,43,TRUE,0.387167403470569,0.261626752736926,0.311655350286987,108.306034613747,250.264948352178
7,1,1,18|8|11|13|13|15|7|19,0,17,47,TRUE,0.360512373528449,0.365917436924936,0.247451913319497,105.812253907227,253.94923368295
7,1,2,18|15|11|10|18|18|9|18,0,18,62,TRUE,0.352965001155929,0.249607880477884,0.370046801008303,106.128152679883,253.94923368295
7,1,3,16|14|4|18|4|16|7|18,0,18,16,TRUE,0.260940066445254,0.323239880241529,0.370674673812882,106.230189330018,253.94923368295
7,1,4,18|16|16|15|5|5|17|17,0,62,37,TRUE,0.161494050398229,0.377985096954532,0.314976421627915,106.248234321103,253.94923368295
7,1,5,18|14|7|9|9|7|6|17,0,17,15,TRUE,0.365844347255625,0.199353752816722,0.424018532751194,106.444374883773,253.94923368295
7,1,6,18|14|18|8|5|5|18|17,0,74,16,TRUE,0.156855974695645,0.401922010226796,0.307799915464905,106.486915730011,253.94923368295
7,1,7,20|8|17|11|14|7|13|16,0,47,19,TRUE,0.286953559528726,0.327030519632002,0.242128774972322,106.539518450645,253.94923368295
7,1,8,18|10|11|8|13|6|16|17,0,64,10,TRUE,0.355851814117387,0.404463662667774,0.255142742664853,106.681147779481,253.94923368295
7,1,9,20|2|4|12|19|6|12|19,0,25,18,TRUE,0.282707412433811,0.482140942296634,0.469698979663663,106.882389640179,253.94923368295
7,1,10,19|8|8|10|18|12|15|14,0,17,16,TRUE,0.145610219958546,0.359125566307865,0.244874144497688,107.592342643725,253.94923368295
2,1,1,18|2|15|7|6|6|17|19,0,28,25,TRUE,0.170708928498637,0.320919484504376,0.350286542883799,105.075238465981,256.628665447235
2,1,2,16|14|7|7|15|10|17|18,0,18,73,TRUE,0.242865108788896,0.322125667416974,0.357169711745066,106.174900737481,256.628665447235
2,1,3,9|13|6|16|10|6|19|18,0,74,48,TRUE,0.19865247392641,0.352588454134291,0.378519930860351,106.233202646978,256.628665447235
2,1,4,19|11|3|7|8|6|18|18,0,20,16,TRUE,0.211993989669446,0.35663695240393,0.37982471007482,106.23686432359,256.628665447235
2,1,5,20|8|17|11|14|7|13|16,0,47,19,TRUE,0.286953559528726,0.327030519632002,0.242128774972322,106.550613501907,256.628665447235
2,1,6,20|14|11|9|14|8|16|19,0,70,61,TRUE,0.207575671907534,0.458618199007101,0.450205217269529,106.68727794822,256.628665447235
2,1,7,20|2|4|12|19|6|12|19,0,25,18,TRUE,0.282707412433811,0.482140942296634,0.469698979663663,106.949876363908,256.628665447235
2,1,8,15|13|9|2|20|8|12|19,0,64,70,TRUE,0.154566713997214,0.450388983097998,0.434595712643141,107.280310529353,256.628665447235
2,1,9,18|14|18|8|5|5|18|17,0,74,16,TRUE,0.156855974695645,0.401922010226796,0.307799915464905,107.560834656782,256.628665447235
2,1,10,20|2|4|9|19|4|18|19,0,56,46,TRUE,0.258524563392098,0.486789839385359,0.41786129925413,108.012928634849,256.628665447235
9,1,1,20|5|15|8|14|12|10|19,0,17,62,TRUE,0.172533903817713,0.362002216304799,0.217919358560717,105.158757801622,253.699458698432
9,1,2,19|14|8|4|13|12|14|19,0,18,68,TRUE,0.181070835650317,0.319362564926051,0.197639643847216,105.250130508163,253.699458698432
