repetition,cviter,trial,growth.factors,num.extra.layers,units1,units2,batch.normalization,dropouts1,dropouts2,dropouts3,mse.test.mean,time.in.mins
2,1,1,18|12,2,47,65,TRUE,0.289924103802898,0.294290260217773,0.280299059692253,103.094744953054,135.36341218551
2,1,2,18|10,1,65,4,TRUE,0.226897367578736,0.275953680444311,0.324001102144852,104.300392933285,135.36341218551
2,1,3,14|18,1,45,4,TRUE,0.172080327758171,0.259242441305727,0.34643815063716,104.336019677755,135.36341218551
2,1,4,18|10,1,47,4,TRUE,0.27702542693726,0.271435578358447,0.337305549291202,104.557546156773,135.36341218551
2,1,5,18|8,1,62,5,TRUE,0.270576743990701,0.266978996306766,0.188418040239094,104.82472702137,135.36341218551
2,1,6,15|18,2,63,34,TRUE,0.188501453746317,0.225376677699387,0.379871074363796,105.068742156964,135.36341218551
2,1,7,19|7,1,34,4,TRUE,0.152922616767799,0.16542564386682,0.293182756474005,105.895073594192,135.36341218551
2,1,8,19|5,1,57,10,TRUE,0.391222894953212,0.277103334287234,0.16328353152269,106.07362647257,135.36341218551
2,1,9,14|14,1,52,7,TRUE,0.418405443900048,0.162937537416054,0.3801250387108,107.34071583002,135.36341218551
2,1,10,17|20,0,44,7,TRUE,0.369491709548877,0.26900168192159,0.39259268916212,107.718910038117,135.36341218551
6,1,1,18|12,2,47,65,TRUE,0.289924103802898,0.294290260217773,0.280299059692253,103.062700067591,158.237169233958
6,1,2,17|18,1,47,4,TRUE,0.304676222233248,0.261520708214316,0.300990124576466,103.602202840331,158.237169233958
6,1,3,13|17,1,47,4,TRUE,0.231141265847072,0.266096120613883,0.300364052737321,103.841276641555,158.237169233958
6,1,4,13|17,1,46,4,TRUE,0.296259424859614,0.239462956235907,0.322586322813253,105.176929422694,158.237169233958
6,1,5,18|17,1,44,10,TRUE,0.449899341911803,0.148319262793422,0.123683867374396,105.322986169895,158.237169233958
6,1,6,18|19,1,64,11,TRUE,0.428097460948669,0.130648821024934,0.378118119724857,106.275082274945,158.237169233958
6,1,7,17|20,0,44,7,TRUE,0.369491709548877,0.26900168192159,0.39259268916212,107.433217488766,158.237169233958
6,1,8,15|18,2,63,34,TRUE,0.188501453746317,0.225376677699387,0.379871074363796,107.869096719972,158.237169233958
6,1,9,18|2,1,7,62,TRUE,0.486149634294108,0.235612882029576,0.263453908494881,108.872559930449,158.237169233958
6,1,10,4|17,2,80,56,TRUE,0.161556587127658,0.263929166595659,0.160392793433534,109.571853227864,158.237169233958
1,1,1,8|17,2,80,59,TRUE,0.169329613987151,0.100978376305599,0.179615390180523,101.903654641969,162.688584931691
1,1,2,18|12,2,47,65,TRUE,0.289924103802898,0.294290260217773,0.280299059692253,103.040444771265,162.688584931691
1,1,3,18|17,1,43,7,TRUE,0.35655285760004,0.230377261641277,0.266320880360696,103.122124073592,162.688584931691
1,1,4,17|20,0,44,7,TRUE,0.369491709548877,0.26900168192159,0.39259268916212,106.095896524814,162.688584931691
1,1,5,14|9,1,49,6,TRUE,0.354611572390827,0.354252925897681,0.354406236189978,106.127587645454,162.688584931691
1,1,6,15|18,2,63,34,TRUE,0.188501453746317,0.225376677699387,0.379871074363796,106.161420860167,162.688584931691
1,1,7,14|16,2,74,31,TRUE,0.312480908298754,0.156595530699775,0.261394418404682,109.090314189872,162.688584931691
1,1,8,11|19,1,70,80,TRUE,0.420987124826449,0.469431954410134,0.321330028164407,109.285091876275,162.688584931691
1,1,9,18|2,1,7,62,TRUE,0.486149634294108,0.235612882029576,0.263453908494881,110.663748100502,162.688584931691
1,1,10,4|17,2,80,56,TRUE,0.161556587127658,0.263929166595659,0.160392793433534,110.73545959963,162.688584931691
18,1,1,18|18,1,77,4,TRUE,0.303965714960616,0.246041322807645,0.32832431575603,101.946395062129,161.436017282804
18,1,2,17|18,1,66,4,TRUE,0.220525836963144,0.24366545684868,0.330555855091404,102.079576848888,161.436017282804
18,1,3,18|15,1,66,4,TRUE,0.328983943559198,0.247933684200288,0.29252267350647,102.83628322536,161.436017282804
18,1,4,17|19,1,43,4,TRUE,0.267640247240515,0.239408727497482,0.333306634567847,102.934737562619,161.436017282804
18,1,5,18|12,2,47,65,TRUE,0.289924103802898,0.294290260217773,0.280299059692253,103.430646706247,161.436017282804
18,1,6,17|20,0,44,7,TRUE,0.369491709548877,0.26900168192159,0.39259268916212,106.992761898728,161.436017282804
18,1,7,15|18,2,63,34,TRUE,0.188501453746317,0.225376677699387,0.379871074363796,107.531426163763,161.436017282804
18,1,8,18|2,1,11,64,TRUE,0.309410608780892,0.398966086186553,0.327506786878802,108.674626432224,161.436017282804
18,1,9,4|17,2,80,56,TRUE,0.161556587127658,0.263929166595659,0.160392793433534,109.130905135906,161.436017282804
18,1,10,11|19,1,70,80,TRUE,0.420987124826449,0.469431954410134,0.321330028164407,109.336426503395,161.436017282804
8,1,1,15|17,2,73,43,TRUE,0.294120949146408,0.285100629601728,0.274413101684568,101.83926913702,167.390780266126
8,1,2,18|12,2,47,65,TRUE,0.289924103802898,0.294290260217773,0.280299059692253,102.404066471643,167.390780266126
8,1,3,13|8,2,66,36,TRUE,0.260223566768813,0.156188515207306,0.278259815999277,103.269308831619,167.390780266126
8,1,4,15|18,2,63,34,TRUE,0.188501453746317,0.225376677699387,0.379871074363796,104.25584303848,167.390780266126
8,1,5,17|20,1,51,7,TRUE,0.376134523362257,0.265005420199182,0.288144574961997,104.422076290818,167.390780266126
8,1,6,15|17,2,63,36,TRUE,0.261749399371407,0.245482512374777,0.280612540668889,104.521873842859,167.390780266126
8,1,7,17|9,1,60,7,TRUE,0.366426660184177,0.361051476266371,0.362937130014254,105.674630158152,167.390780266126
8,1,8,17|20,0,44,7,TRUE,0.369491709548877,0.26900168192159,0.39259268916212,107.275632534894,167.390780266126
8,1,9,19|6,1,63,7,TRUE,0.424407024103892,0.107413766962428,0.359392375038075,107.634542310032,167.390780266126
8,1,10,4|17,2,80,56,TRUE,0.161556587127658,0.263929166595659,0.160392793433534,109.196203829675,167.390780266126
15,1,1,18|12,2,47,65,TRUE,0.289924103802898,0.294290260217773,0.280299059692253,103.655441188303,165.516072734197
15,1,2,17|20,1,56,7,TRUE,0.45402900283956,0.25512074724139,0.234875921054203,104.778299230312,165.516072734197
15,1,3,17|17,1,55,7,TRUE,0.470399391328684,0.250691640889678,0.222440293198832,105.473941350605,165.516072734197
15,1,4,15|18,2,63,34,TRUE,0.188501453746317,0.225376677699387,0.379871074363796,105.628359154259,165.516072734197
