repetition,cviter,trial,growth.factors,num.extra.layers,units1,units2,mse.test.mean,time.in.mins
7,1,1,6|14|10|12|19|13|9|10,2,80,75,132.676241314073,97.5699277480443
7,1,2,14|9|9|9|13|4|3|5,2,77,74,133.281957062146,97.5699277480443
7,1,3,15|16|16|17|17|11|6|3,2,70,76,133.963545721647,97.5699277480443
7,1,4,4|14|18|7|20|4|9|3,2,73,72,134.714497128935,97.5699277480443
7,1,5,7|6|19|19|13|8|5|6,2,80,64,139.136378960387,97.5699277480443
7,1,6,9|13|14|11|11|9|5|16,2,66,65,141.412913420018,97.5699277480443
7,1,7,8|18|14|14|8|18|15|20,0,31,40,148.217231871635,97.5699277480443
7,1,8,12|14|6|6|18|17|8|4,2,57,71,149.104670305449,97.5699277480443
7,1,9,15|16|12|13|11|9|17|8,2,75,57,149.369850715484,97.5699277480443
7,1,10,3|10|9|18|9|9|7|5,2,70,56,151.187143044137,97.5699277480443
8,1,1,10|19|15|19|13|10|10|2,2,71,76,129.164740558136,100.593202046553
8,1,2,8|16|11|4|16|7|5|5,2,69,70,131.078366365508,100.593202046553
8,1,3,11|12|14|13|10|8|5|14,2,67,66,134.605286759731,100.593202046553
8,1,4,7|6|19|19|13|8|5|6,2,80,64,135.375549280798,100.593202046553
8,1,5,2|12|11|18|19|9|9|6,2,65,62,138.928072341009,100.593202046553
8,1,6,15|16|12|13|11|9|17|8,2,75,57,143.691209584076,100.593202046553
8,1,7,12|14|6|6|18|17|8|4,2,57,71,144.410583013945,100.593202046553
8,1,8,17|20|18|20|10|15|16|17,0,36,65,146.782665983944,100.593202046553
8,1,9,7|12|11|7|6|17|11|20,0,30,37,148.792500556117,100.593202046553
8,1,10,16|4|5|7|5|17|14|20,0,30,61,148.862633997756,100.593202046553
15,1,1,8|14|14|12|10|9|6|11,2,66,66,135.92475869945,98.5194883147876
15,1,2,9|14|11|3|14|10|5|5,2,75,65,136.845678451066,98.5194883147876
15,1,3,13|7|9|11|19|3|2|14,2,67,65,140.122160927411,98.5194883147876
15,1,4,7|6|19|19|13|8|5|6,2,80,64,140.765495826475,98.5194883147876
15,1,5,12|17|11|20|19|11|3|3,2,69,63,142.350406988021,98.5194883147876
15,1,6,18|18|16|19|12|17|13|20,0,39,63,143.52248048775,98.5194883147876
15,1,7,6|9|8|13|18|9|4|18,2,74,56,144.86834179165,98.5194883147876
15,1,8,15|16|12|13|11|9|17|8,2,75,57,145.992838890496,98.5194883147876
15,1,9,12|14|6|6|18|17|8|4,2,57,71,147.310832723836,98.5194883147876
15,1,10,6|13|5|12|10|20|15|20,0,29,36,148.818302406647,98.5194883147876
2,1,1,5|8|13|8|20|6|11|5,2,70,72,132.474813433503,103.886450680097
2,1,2,10|16|19|15|15|13|10|6,2,72,75,134.194084119461,103.886450680097
2,1,3,10|12|13|12|10|9|4|15,2,65,66,140.294505127351,103.886450680097
2,1,4,5|15|19|9|20|15|10|14,2,76,62,140.436340316318,103.886450680097
2,1,5,3|16|12|20|17|11|9|4,2,66,62,141.123245621251,103.886450680097
2,1,6,7|6|19|19|13|8|5|6,2,80,64,141.582024674552,103.886450680097
2,1,7,12|14|6|6|18|17|8|4,2,57,71,146.327262990109,103.886450680097
2,1,8,15|16|12|13|11|9|17|8,2,75,57,146.541768063238,103.886450680097
2,1,9,13|18|8|13|10|20|15|19,0,29,36,148.352496170454,103.886450680097
2,1,10,16|4|5|7|5|17|14|20,0,30,61,151.578178508849,103.886450680097
12,1,1,10|17|14|17|8|13|10|2,2,71,76,135.075824103195,101.541481935978
12,1,2,9|17|11|5|17|11|5|4,2,69,71,136.737821659179,101.541481935978
12,1,3,7|6|19|19|13|8|5|6,2,80,64,141.011638793707,101.541481935978
12,1,4,4|16|19|8|9|20|8|2,2,74,62,141.498994053345,101.541481935978
12,1,5,9|14|14|14|13|9|4|13,2,66,66,141.512503704753,101.541481935978
12,1,6,4|18|12|20|10|12|9|2,2,61,62,145.943654096197,101.541481935978
12,1,7,12|14|6|6|18|17|8|4,2,57,71,149.403010704756,101.541481935978
12,1,8,8|14|11|7|8|17|12|20,0,31,37,149.612110676406,101.541481935978
12,1,9,20|8|20|20|12|2|13|17,0,58,67,151.912924419392,101.541481935978
12,1,10,15|16|12|13|11|9|17|8,2,75,57,152.514759759812,101.541481935978
10,1,1,12|15|16|11|14|13|4|5,2,75,78,130.75219222011,103.910786298911
10,1,2,3|16|14|17|18|9|10|4,2,68,70,134.372994398474,103.910786298911
10,1,3,13|12|20|17|7|14|10|2,2,67,70,134.907216758087,103.910786298911
10,1,4,7|6|19|19|13|8|5|6,2,80,64,137.324867841504,103.910786298911
10,1,5,12|13|13|14|11|8|5|17,2,66,65,138.127967529649,103.910786298911
10,1,6,12|13|14|19|16|16|2|3,2,71,60,141.674003979769,103.910786298911
10,1,7,15|16|12|13|11|9|17|8,2,75,57,143.57258378274,103.910786298911
10,1,8,12|14|6|6|18|17|8|4,2,57,71,146.739539645589,103.910786298911
10,1,9,16|4|5|7|5|17|14|20,0,30,61,148.66294240884,103.910786298911
10,1,10,8|12|9|11|5|18|11|20,0,32,36,149.014763374202,103.910786298911
3,1,1,9|13|6|17|13|17|8|6,2,77,77,128.330886649709,106.854725249608
3,1,2,14|10|16|8|14|15|10|13,2,73,78,129.090248832876,106.854725249608
3,1,3,8|16|12|4|18|11|4|6,2,74,72,129.327284555887,106.854725249608
3,1,4,12|17|17|18|19|9|9|3,2,68,75,133.609035975481,106.854725249608
3,1,5,2|14|15|12|18|14|11|7,2,70,63,137.072698224396,106.854725249608
3,1,6,10|11|11|14|9|9|6|15,2,66,64,138.231552559901,106.854725249608
3,1,7,7|6|19|19|13|8|5|6,2,80,64,139.529691404711,106.854725249608
3,1,8,12|14|6|6|18|17|8|4,2,57,71,143.528034866876,106.854725249608
3,1,9,15|16|12|13|11|9|17|8,2,75,57,144.556763676659,106.854725249608
3,1,10,10|15|13|10|7|20|17|20,0,31,39,144.987140524446,106.854725249608
5,1,1,12|16|10|14|19|10|4|7,2,74,76,132.729856653547,106.870551816622
5,1,2,13|11|17|7|10|15|9|5,2,74,73,134.738363464231,106.870551816622
5,1,3,7|12|14|12|12|8|6|17,2,67,66,138.143382629385,106.870551816622
5,1,4,15|9|18|15|19|6|10|3,2,66,69,138.282105881364,106.870551816622
5,1,5,12|8|14|17|20|19|10|14,2,75,68,138.375271386329,106.870551816622
5,1,6,7|6|19|19|13|8|5|6,2,80,64,140.783944772759,106.870551816622
5,1,7,12|7|7|7|12|3|4|16,2,74,62,143.87998041725,106.870551816622
5,1,8,15|16|12|13|11|9|17|8,2,75,57,148.174370069948,106.870551816622
5,1,9,12|14|6|6|18|17|8|4,2,57,71,149.396430483022,106.870551816622
5,1,10,8|13|11|6|7|17|12|19,0,31,36,151.326678468751,106.870551816622
16,1,1,10|12|8|12|19|9|4|6,2,78,76,134.706751624339,105.285985032717
16,1,2,11|19|18|17|18|14|10|7,2,68,73,140.374961022717,105.285985032717
16,1,3,13|11|12|19|16|6|8|2,2,64,66,141.7202380316,105.285985032717
16,1,4,12|11|13|11|11|8|5|16,2,67,66,142.018272450092,105.285985032717
16,1,5,7|6|19|19|13|8|5|6,2,80,64,144.107398245415,105.285985032717
16,1,6,6|17|10|5|12|9|3|5,2,62,65,144.883295792548,105.285985032717
16,1,7,19|18|18|18|12|13|16|19,0,35,65,145.978232452841,105.285985032717
16,1,8,15|16|12|13|11|9|17|8,2,75,57,148.682395868101,105.285985032717
16,1,9,12|14|6|6|18|17|8|4,2,57,71,150.185845473107,105.285985032717
16,1,10,6|14|9|11|8|18|11|20,0,30,37,151.434301596867,105.285985032717
20,1,1,9|14|16|13|15|11|7|3,2,72,77,132.664367267226,104.026585086187
20,1,2,12|11|15|11|9|9|5|15,2,65,67,135.540210251818,104.026585086187
20,1,3,7|6|19|19|13|8|5|6,2,80,64,136.514002259647,104.026585086187
20,1,4,3|18|11|19|16|9|7|10,2,69,63,138.882866286381,104.026585086187
20,1,5,19|17|16|20|12|16|17|20,0,36,51,142.006217608435,104.026585086187
20,1,6,10|9|12|17|9|14|5|2,2,68,58,142.961287899808,104.026585086187
20,1,7,12|14|6|6|18|17|8|4,2,57,71,145.979581617071,104.026585086187
20,1,8,15|16|12|13|11|9|17|8,2,75,57,147.408296659921,104.026585086187
20,1,9,5|8|14|9|16|12|5|19,2,75,55,148.331840013882,104.026585086187
20,1,10,16|4|5|7|5|17|14|20,0,30,61,149.868506481675,104.026585086187
4,1,1,6|11|12|14|16|19|12|10,2,79,73,135.829422082967,110.662743798892
4,1,2,12|10|10|9|19|9|3|9,2,68,68,140.780621503766,110.662743798892
4,1,3,7|12|13|12|13|9|5|17,2,68,65,140.925547068151,110.662743798892
4,1,4,12|12|18|16|18|10|9|3,2,67,75,141.158563531872,110.662743798892
4,1,5,8|14|17|3|16|10|6|4,2,80,67,141.491265343825,110.662743798892
4,1,6,7|6|19|19|13|8|5|6,2,80,64,142.681023411042,110.662743798892
4,1,7,15|16|12|13|11|9|17|8,2,75,57,149.544804600939,110.662743798892
4,1,8,12|14|6|6|18|17|8|4,2,57,71,150.764054212385,110.662743798892
4,1,9,8|14|11|11|6|19|15|19,0,31,37,151.999890276223,110.662743798892
4,1,10,16|4|5|7|5|17|14|20,0,30,61,154.058227408279,110.662743798892
1,1,1,13|15|13|17|19|11|8|18,2,78,73,127.932749638664,111.783664850394
1,1,2,8|16|7|9|14|12|3|7,2,79,76,131.099828179729,111.783664850394
1,1,3,13|14|17|5|17|9|8|2,2,77,71,131.35725224164,111.783664850394
1,1,4,4|20|6|18|12|8|5|18,2,71,67,133.05005293263,111.783664850394
1,1,5,4|15|13|17|18|10|10|5,2,68,70,134.272811535866,111.783664850394
1,1,6,12|13|14|11|9|8|4|13,2,65,66,135.195815083027,111.783664850394
1,1,7,7|6|19|19|13|8|5|6,2,80,64,135.695270843595,111.783664850394
1,1,8,10|13|15|10|9|18|14|20,0,31,40,143.211391626355,111.783664850394
1,1,9,12|14|6|6|18|17|8|4,2,57,71,143.60209822857,111.783664850394
1,1,10,15|16|12|13|11|9|17|8,2,75,57,144.69789332425,111.783664850394
14,1,1,12|18|18|12|13|15|7|3,2,76,75,129.892418251526,107.69145505031
14,1,2,4|16|9|16|18|7|6|2,2,70,67,134.426342135833,107.69145505031
14,1,3,16|17|10|5|10|9|2|6,2,66,66,135.304318680163,107.69145505031
14,1,4,7|6|19|19|13|8|5|6,2,80,64,136.194417896487,107.69145505031
14,1,5,11|12|14|12|11|9|5|15,2,67,66,137.315674588669,107.69145505031
14,1,6,14|18|18|17|10|15|16|20,0,35,63,143.37116961878,107.69145505031
14,1,7,15|16|12|13|11|9|17|8,2,75,57,144.994792518436,107.69145505031
14,1,8,12|14|6|6|18|17|8|4,2,57,71,146.147868002202,107.69145505031
14,1,9,16|4|5|7|5|17|14|20,0,30,61,149.154191384228,107.69145505031
14,1,10,20|8|20|20|12|2|13|17,0,58,67,149.36367246521,107.69145505031
