repetition,cviter,trial,growth.factors,num.extra.layers,units1,units2,mse.test.mean,time.in.mins
7,1,1,16|19,1,80,25,132.358858036852,53.5038615345955
7,1,2,11|20,1,80,52,133.187368335043,53.5038615345955
7,1,3,2|18,2,80,80,135.061145232909,53.5038615345955
7,1,4,8|18,1,72,46,137.087897083966,53.5038615345955
7,1,5,3|19,1,71,62,138.988302877259,53.5038615345955
7,1,6,18|20,1,65,12,142.036215183689,53.5038615345955
7,1,7,14|8,1,60,49,145.057256350449,53.5038615345955
7,1,8,15|9,1,65,29,146.549392471989,53.5038615345955
7,1,9,11|11,1,60,47,148.178590567911,53.5038615345955
7,1,10,17|20,1,42,56,150.607857231626,53.5038615345955
2,1,1,15|13,1,78,23,130.19168838094,55.4044101993243
2,1,2,7|20,1,80,24,130.450445748874,55.4044101993243
2,1,3,7|13,1,80,80,130.688159546998,55.4044101993243
2,1,4,18|7,1,80,62,131.127025569002,55.4044101993243
2,1,5,19|18,1,46,80,131.57584482572,55.4044101993243
2,1,6,8|18,1,77,58,131.578632152514,55.4044101993243
2,1,7,16|20,1,80,29,131.881573549378,55.4044101993243
2,1,8,6|2,1,32,76,132.064313062933,55.4044101993243
2,1,9,3|19,1,71,62,135.969756474865,55.4044101993243
2,1,10,18|20,1,65,12,141.204380475989,55.4044101993243
12,1,1,6|13,1,80,80,132.491726415863,52.519846534729
12,1,2,16|20,1,80,29,133.034030637716,52.519846534729
12,1,3,5|11,1,80,2,133.315325140552,52.519846534729
12,1,4,8|18,1,77,58,133.467853013014,52.519846534729
12,1,5,17|8,1,79,80,133.811653874174,52.519846534729
12,1,6,10|7,1,39,75,136.581199452257,52.519846534729
12,1,7,3|19,1,71,62,138.736019696402,52.519846534729
12,1,8,18|20,1,65,12,143.539472036061,52.519846534729
12,1,9,14|8,1,63,49,144.39485887662,52.519846534729
12,1,10,19|20,1,46,60,147.779222760121,52.519846534729
10,1,1,6|20,1,80,27,128.358143290523,56.3287161827087
10,1,2,16|20,1,78,35,128.423138319685,56.3287161827087
10,1,3,17|8,1,80,7,128.686292937197,56.3287161827087
10,1,4,17|12,1,80,80,129.35246967946,56.3287161827087
10,1,5,15|14,1,80,22,129.412646343635,56.3287161827087
10,1,6,8|18,1,76,59,132.260401228012,56.3287161827087
10,1,7,3|19,1,71,62,137.045511363885,56.3287161827087
10,1,8,18|20,1,65,12,140.740516847083,56.3287161827087
10,1,9,15|5,1,63,36,141.202060376789,56.3287161827087
10,1,10,11|11,1,60,47,142.745080720039,56.3287161827087
8,1,1,15|19,1,80,13,128.661037952316,57.0219323992729
8,1,2,8|2,1,39,76,130.37984838009,57.0219323992729
8,1,3,8|18,1,76,59,130.899261761925,57.0219323992729
8,1,4,3|19,1,71,62,133.590423153039,57.0219323992729
8,1,5,18|20,1,65,12,137.498516403843,57.0219323992729
8,1,6,14|8,1,61,48,140.097264039093,57.0219323992729
8,1,7,2|10,2,72,65,140.229720719651,57.0219323992729
8,1,8,17|20,1,44,61,141.115001549128,57.0219323992729
8,1,9,11|11,1,60,47,141.579853232336,57.0219323992729
8,1,10,16|5,1,19,53,150.464680997279,57.0219323992729
3,1,1,7|6,1,80,2,128.707307363904,60.1445222973824
3,1,2,16|18,1,80,65,129.059974102655,60.1445222973824
