repetition,cviter,trial,growth.factors,num.extra.layers,units1,units2,mse.test.mean,time.in.mins
5,1,1,17|18|18|11|9|16|13|18|12|19|9|8|4|10|14|5|18|9|4,2,72,72,100.968008457598,1057.06940661669
5,1,2,12|13|14|7|14|14|9|7|9|18|9|11|11|9|5|13|15|9|8,2,67,69,101.091244438287,1057.06940661669
5,1,3,19|9|3|9|20|20|14|12|12|3|13|19|3|18|16|19|17|14|16,0,62,56,101.160662357022,1057.06940661669
5,1,4,16|20|2|14|16|4|12|12|20|14|14|5|19|14|9|20|11|2|6,2,66,63,101.206582346096,1057.06940661669
5,1,5,19|6|3|8|16|13|12|6|15|11|11|14|13|15|14|15|18|11|11,0,52,35,101.364537902712,1057.06940661669
5,1,6,19|6|9|11|15|10|11|9|13|9|9|5|11|14|6|14|11|10|14,0,46,57,101.468887939688,1057.06940661669
5,1,7,17|9|5|17|15|10|11|16|7|13|11|11|7|19|13|8|11|9|14,0,36,65,101.475321663669,1057.06940661669
5,1,8,19|19|4|4|10|10|8|5|9|18|3|9|9|16|15|18|15|3|12,0,25,30,101.510100514982,1057.06940661669
5,1,9,14|13|16|2|3|15|14|4|13|8|2|18|5|4|19|18|19|20|5,2,61,67,101.52980621575,1057.06940661669
5,1,10,20|14|10|5|8|2|10|14|18|19|8|7|14|15|8|2|20|11|17,0,79,19,101.559395522297,1057.06940661669
14,1,1,16|11|12|9|16|8|12|13|10|14|10|14|3|13|14|10|10|9|9,2,62,62,100.782167780851,1062.58175496658
14,1,2,17|18|18|11|9|16|13|18|12|19|9|8|4|10|14|5|18|9|4,2,72,72,100.982546196587,1062.58175496658
14,1,3,11|19|14|6|15|14|6|12|8|12|7|8|9|13|17|11|14|13|14,2,67,67,101.322169636041,1062.58175496658
14,1,4,20|8|13|4|14|14|11|9|10|12|11|11|8|17|10|7|17|11|15,0,61,42,101.382417828411,1062.58175496658
14,1,5,19|9|3|9|20|20|14|12|12|3|13|19|3|18|16|19|17|14|16,0,62,56,101.430725881614,1062.58175496658
14,1,6,20|14|10|5|8|2|10|14|18|19|8|7|14|15|8|2|20|11|17,0,79,19,101.438287340242,1062.58175496658
14,1,7,9|20|13|13|17|14|5|9|3|13|7|20|4|11|9|11|10|18|6,2,68,59,101.535614364039,1062.58175496658
14,1,8,19|19|4|4|10|10|8|5|9|18|3|9|9|16|15|18|15|3|12,0,25,30,101.537968456778,1062.58175496658
14,1,9,19|6|10|11|17|10|12|8|12|9|9|5|11|14|6|14|12|10|14,0,49,60,101.561501311521,1062.58175496658
14,1,10,18|9|6|9|12|13|18|7|13|18|10|5|9|15|11|17|18|8|10,0,63,37,101.566686771452,1062.58175496658
